,RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance.x,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019,UniqueID,Yearplanted,Current.name,TaxonoriginalDN,Section,Diam.1.Bark,Diam.1.peeled,Diam.2.Bark,Diam.2.peeled,bark.thickness,WD,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Provenance.y,Drought2006Scale,latitude,longitude,Stateoccurrence,Regeneration.Strategy,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
337,R151/T22,-27.75,1.2,48.4,Eucalyptus melanoleuca,DN 2111,"Yarraman, Qld",1998,CCA3184,2111,Eucalyptus melanoleuca,D.Nicolle,2111,26,47,12,151,57,27,151,22,Alive,None evident,,None evident,Flowered,2111,1998,Eucalyptus melanoleuca,Eucalyptus melanoleuca,Adnataria,12.51,9.37,11.71,9.79,2.53,0.641221374,3.93,2.52,3.5688,"Yarraman, Qld",0,-26.78666667,151.9575,Qld,Combination,4731,1754,0.4731,17.71666718,22.63333321,11.83333302,830,118,34,44.20698547,340,114,340,114,11.46666718,49.42528915,437.1152039,28.39999962,5.199999809,23.20000076,22.63333321,11.83333302,0.1754,829.8246,
338,R151/T23,-28.75,1.2,49.2,Eucalyptus melanoleuca,DN 2111,"Yarraman, Qld",1998,CCA3185,2111,Eucalyptus melanoleuca,D.Nicolle,2111,26,47,12,151,57,27,151,23,Alive,None evident,,None evident,Flowered,2111,1998,Eucalyptus melanoleuca,Eucalyptus melanoleuca,Adnataria,8.72,7.24,9.52,6.65,2.175,0.661971831,1.42,0.94,2.9723,"Yarraman, Qld",0,-26.78666667,151.9575,Qld,Combination,4731,1754,0.4731,17.71666718,22.63333321,11.83333302,830,118,34,44.20698547,340,114,340,114,11.46666718,49.42528915,437.1152039,28.39999962,5.199999809,23.20000076,22.63333321,11.83333302,0.1754,829.8246,
339,R151/T24,-30.84,0.9,49.2,Eucalyptus melanoleuca,DN 2111,"Yarraman, Qld",1998,CCA3186,2111,Eucalyptus melanoleuca,D.Nicolle,2111,26,47,12,151,57,27,151,24,Alive,Slight,,None evident,Flowered,2111,1998,Eucalyptus melanoleuca,Eucalyptus melanoleuca,Adnataria,9.78,7.27,9.84,6.52,2.915,0.703517588,1.99,1.4,2.2491,"Yarraman, Qld",0,-26.78666667,151.9575,Qld,Combination,4731,1754,0.4731,17.71666718,22.63333321,11.83333302,830,118,34,44.20698547,340,114,340,114,11.46666718,49.42528915,437.1152039,28.39999962,5.199999809,23.20000076,22.63333321,11.83333302,0.1754,829.8246,
340,R151/T29,-29.71,0.7,47.9,Eucalyptus ophitica,DN 2099,"Baryulgil, NSW",1998,CCA3190,2099,Eucalyptus ophitica,D.Nicolle,2099,29,17,38,152,38,11,151,29,Alive,Slight,,None evident,Flowered,2099,1998,Eucalyptus ophitica,Eucalyptus ophitica,Adnataria,12.94,10.23,12.48,9.61,2.79,0.616216216,3.7,2.28,5.3574,"Baryulgil, NSW",0,-29.29388889,152.6363889,NSW,Combination,6461,1696,0.6461,18.48749924,23.08333397,13.08333302,1096,169,30,53.71137238,471,108,471,121,11.17500019,50.56560898,403.8965149,28.70000076,6.599999905,22.10000038,23.08333397,14.05000019,0.1696,1095.8304,
341,R151/T30,-30.04,0.8,49.8,Eucalyptus ophitica,DN 2099,"Baryulgil, NSW",1998,CCA3191,2099,Eucalyptus ophitica,D.Nicolle,2099,29,17,38,152,38,11,151,30,Alive,Slight,,None evident,Flowered,2099,1998,Eucalyptus ophitica,Eucalyptus ophitica,Adnataria,11.2,8.06,11.15,8.44,2.925,0.717314488,2.83,2.03,3.7803,"Baryulgil, NSW",0,-29.29388889,152.6363889,NSW,Combination,6461,1696,0.6461,18.48749924,23.08333397,13.08333302,1096,169,30,53.71137238,471,108,471,121,11.17500019,50.56560898,403.8965149,28.70000076,6.599999905,22.10000038,23.08333397,14.05000019,0.1696,1095.8304,
342,R151/T32,-29.47,0.8,50.4,Eucalyptus ophitica,DN 2099,"Baryulgil, NSW",1998,CCA3193,2099,Eucalyptus ophitica,D.Nicolle,2099,29,17,38,152,38,11,151,32,Alive,Slight,,None evident,Flowered,2099,1998,Eucalyptus ophitica,Eucalyptus ophitica,Adnataria,12.19,8.25,11.26,9.53,2.835,1.774095941,2.71,4.8078,1.88,"Baryulgil, NSW",0,-29.29388889,152.6363889,NSW,Combination,6461,1696,0.6461,18.48749924,23.08333397,13.08333302,1096,169,30,53.71137238,471,108,471,121,11.17500019,50.56560898,403.8965149,28.70000076,6.599999905,22.10000038,23.08333397,14.05000019,0.1696,1095.8304,
343,R152/T09,-28.6,1.1,50.3,Eucalyptus fracta,DN 2081,"Broken Back Range, NSW",1998,CCA3198,2081,Eucalyptus fracta,D.Nicolle,2081,32,46,2,151,12,26,152,9,Alive,None evident,,None evident,Flowered,2081,1998,Eucalyptus fracta,Eucalyptus fracta,Adnataria,10.89,9.09,11.36,8.08,2.54,0.71,3,2.13,2.0292,"Broken Back Range, NSW",0,-32.76722222,151.2072222,NSW,Combination,6548,1530,0.6548,15.97500038,21.03333282,10.53333282,1002,127,49,31.12100792,361,155,336,167,10.0666666,47.26134491,422.8340454,26.70000076,5.400000095,21.30000114,20.73333359,11.35000038,0.153,1001.847,Threatened
344,R152/T10,-26.91,0.9,49.6,Eucalyptus fracta,DN 2081,"Broken Back Range, NSW",1998,CCA3199,2081,Eucalyptus fracta,D.Nicolle,2081,32,46,2,151,12,26,152,10,Alive,None evident,,None evident,Flowered,2081,1998,Eucalyptus fracta,Eucalyptus fracta,Adnataria,10.44,8.24,9.35,7.02,2.265,0.714953271,2.14,1.53,2.5626,"Broken Back Range, NSW",0,-32.76722222,151.2072222,NSW,Combination,6548,1530,0.6548,15.97500038,21.03333282,10.53333282,1002,127,49,31.12100792,361,155,336,167,10.0666666,47.26134491,422.8340454,26.70000076,5.400000095,21.30000114,20.73333359,11.35000038,0.153,1001.847,Threatened
345,R152/T11,-28.72,0.9,51.2,Eucalyptus fracta,DN 2081,"Broken Back Range, NSW",1998,CCA3200,2081,Eucalyptus fracta,D.Nicolle,2081,32,46,2,151,12,26,152,11,Alive,Slight,,None evident,Flowered,2081,1998,Eucalyptus fracta,Eucalyptus fracta,Adnataria,10.66,8.22,10.57,8.38,2.315,0.688172043,2.79,1.92,2.1597,"Broken Back Range, NSW",0,-32.76722222,151.2072222,NSW,Combination,6548,1530,0.6548,15.97500038,21.03333282,10.53333282,1002,127,49,31.12100792,361,155,336,167,10.0666666,47.26134491,422.8340454,26.70000076,5.400000095,21.30000114,20.73333359,11.35000038,0.153,1001.847,Threatened
349,R153/T01,-26.02,1.3,48.6,Eucalyptus hypostomatica,DN 2080,"Paxton, NSW",1998,CCA3208,2080,Eucalyptus rudderi (E. hypostomatica),D.Nicolle,2080,32,59,48,151,15,42,153,1,Alive,Moderate,,None evident,Flowered,2080,1998,Eucalyptus hypostomatica,Eucalyptus rudderi (E. hypostomatica),Adnataria,13.25,11.51,14.13,11.12,2.375,0.630331754,4.22,2.66,2.4353,"Paxton, NSW",0,-32.99666667,151.2616667,"NSW,Qld",Combination,7237,1492,0.7237,15.8708334,20.80000114,10.5666666,1080,133,51,31.51654243,392,163,350,183,10.07499981,47.74881363,411.7780762,26.20000076,5.099999905,21.10000038,20.51666641,11.35000038,0.1492,1079.8508,
350,R153/T02,-27.14,1.2,49.2,Eucalyptus hypostomatica,DN 2080,"Paxton, NSW",1998,CCA3209,2080,Eucalyptus rudderi (E. hypostomatica),D.Nicolle,2080,32,59,48,151,15,42,153,2,Alive,Slight,,Moderate,Flowered,2080,1998,Eucalyptus hypostomatica,Eucalyptus rudderi (E. hypostomatica),Adnataria,9.03,7.82,10.51,6.45,2.635,0.713483146,1.78,1.27,1.7727,"Paxton, NSW",2,-32.99666667,151.2616667,"NSW,Qld",Combination,7237,1492,0.7237,15.8708334,20.80000114,10.5666666,1080,133,51,31.51654243,392,163,350,183,10.07499981,47.74881363,411.7780762,26.20000076,5.099999905,21.10000038,20.51666641,11.35000038,0.1492,1079.8508,
351,R153/T04,-27.62,1.2,49.8,Eucalyptus hypostomatica,DN 2080,"Paxton, NSW",1998,CCA3211,2080,Eucalyptus rudderi (E. hypostomatica),D.Nicolle,2080,32,59,48,151,15,42,153,4,Alive,Moderate,,Slight,Flowered,2080,1998,Eucalyptus hypostomatica,Eucalyptus rudderi (E. hypostomatica),Adnataria,8.8,7.04,8.52,6.76,1.76,0.659090909,1.76,1.16,2.0758,"Paxton, NSW",1,-32.99666667,151.2616667,"NSW,Qld",Combination,7237,1492,0.7237,15.8708334,20.80000114,10.5666666,1080,133,51,31.51654243,392,163,350,183,10.07499981,47.74881363,411.7780762,26.20000076,5.099999905,21.10000038,20.51666641,11.35000038,0.1492,1079.8508,
352,R155/T10,-27.47,1.2,50.4,Eucalyptus largeana,DN 2086,"Craven, NSW",1998,CCA3228,2086,Eucalyptus largeana,D.Nicolle,2086,32,10,7,151,53,17,155,10,Alive,Slight,,Moderate,Flowered,2086,1998,Eucalyptus largeana,Eucalyptus largeana,Adnataria,10.1,6.96,9.02,8,2.08,0.710280374,2.14,1.52,2.4543,"Craven, NSW",2,-32.16861111,151.8880556,NSW,Combination,7673,1546,0.7673,16.58749962,21.53333282,11.1833334,1187,162,41,40.72223663,467,146,414,172,10.6916666,49.27035522,416.4521484,27.29999924,5.599999905,21.69999886,21.23333359,12,0.1546,1186.8454,Threatened
353,R155/T11,-28.83,1.2,51.5,Eucalyptus largeana,DN 2086,"Craven, NSW",1998,CCA3229,2086,Eucalyptus largeana,D.Nicolle,2086,32,10,7,151,53,17,155,11,Alive,Moderate,,Slight,Flowered,2086,1998,Eucalyptus largeana,Eucalyptus largeana,Adnataria,10.7,8.57,11.5,9.2,2.215,0.676806084,2.63,1.78,2.4677,"Craven, NSW",1,-32.16861111,151.8880556,NSW,Combination,7673,1546,0.7673,16.58749962,21.53333282,11.1833334,1187,162,41,40.72223663,467,146,414,172,10.6916666,49.27035522,416.4521484,27.29999924,5.599999905,21.69999886,21.23333359,12,0.1546,1186.8454,Threatened
354,R155/T12,-28.04,1.3,50.9,Eucalyptus largeana,DN 2086,"Craven, NSW",1998,CCA3230,2086,Eucalyptus largeana,D.Nicolle,2086,32,10,7,151,53,17,155,12,Alive,Slight,,None evident,Flowered,2086,1998,Eucalyptus largeana,Eucalyptus largeana,Adnataria,11.04,8.75,10.19,8.07,2.205,0.716312057,2.82,2.02,2.5911,"Craven, NSW",0,-32.16861111,151.8880556,NSW,Combination,7673,1546,0.7673,16.58749962,21.53333282,11.1833334,1187,162,41,40.72223663,467,146,414,172,10.6916666,49.27035522,416.4521484,27.29999924,5.599999905,21.69999886,21.23333359,12,0.1546,1186.8454,Threatened
355,R156/T14,-28.64,1,44.9,Eucalyptus paedoglauca,DN 1298,"Mt Stuart, Qld",1998,CCA3236,1298,Eucalyptus paedoglauca,D.Nicolle,1298,19,21,39,146,48,30,156,14,Alive,None evident,,None evident,,1298,1998,Eucalyptus paedoglauca,Eucalyptus paedoglauca,Adnataria,9.74,7.47,10.36,7.3,2.665,0.69047619,2.52,1.74,2.8546,"Mt Stuart 1, Qld",0,-19.36083333,146.8083333,Qld,Combination,5834,2034,0.5834,23.22083282,26.71666718,18.71666718,1187,270,17,89.65602112,718,67,624,96,9.041666985,50.23148727,326.3256836,30.79999924,12.80000019,18,26.46666718,19.58333397,0.2034,1186.7966,
356,R156/T15,-29.19,1.1,49.7,Eucalyptus paedoglauca,DN 1298,"Mt Stuart, Qld",1998,CCA3237,1298,Eucalyptus paedoglauca,D.Nicolle,1298,19,21,39,146,48,30,156,15,Alive,None evident,,None evident,,1298,1998,Eucalyptus paedoglauca,Eucalyptus paedoglauca,Adnataria,7.72,6.18,7.78,6.16,1.58,0.609929078,1.41,0.86,2.6447,"Mt Stuart 1, Qld",0,-19.36083333,146.8083333,Qld,Combination,5834,2034,0.5834,23.22083282,26.71666718,18.71666718,1187,270,17,89.65602112,718,67,624,96,9.041666985,50.23148727,326.3256836,30.79999924,12.80000019,18,26.46666718,19.58333397,0.2034,1186.7966,
357,R156/T16,-29.77,1.1,50.8,Eucalyptus paedoglauca,DN 1298,"Mt Stuart, Qld",1998,CCA3238,1298,Eucalyptus paedoglauca,D.Nicolle,1298,19,21,39,146,48,30,156,16,Alive,Slight,,None evident,,1298,1998,Eucalyptus paedoglauca,Eucalyptus paedoglauca,Adnataria,8.39,6.26,8.18,6.64,1.835,0.683333333,1.8,1.23,2.487,"Mt Stuart 1, Qld",0,-19.36083333,146.8083333,Qld,Combination,5834,2034,0.5834,23.22083282,26.71666718,18.71666718,1187,270,17,89.65602112,718,67,624,96,9.041666985,50.23148727,326.3256836,30.79999924,12.80000019,18,26.46666718,19.58333397,0.2034,1186.7966,
358,R156/T21,-29.74,1.5,51.1,Eucalyptus glaucina,DN 2085,"Paterson, NSW",1998,CCA3239,2085,Eucalyptus glaucina,D.Nicolle,2085,32,33,54,151,36,8,156,21,Alive,Slight,,None evident,Flowered,2085,1998,Eucalyptus glaucina,Eucalyptus glaucina,Exsertaria,9.03,6.68,8.53,6.56,2.16,0.552147239,1.63,0.9,3.3436,"Paterson, NSW",0,-32.565,151.6022222,NSW,Combination,5698,1644,0.5698,18.12083244,23.29999924,12.48333359,937,126,36,36.08261108,354,128,322,147,11.59166622,49.96408081,434.0478516,29.60000038,6.400000095,23.20000076,22.89999962,13.41666698,0.1644,936.8356,Threatened
359,R156/T23,-28.34,1.6,49.8,Eucalyptus glaucina,DN 2085,"Paterson, NSW",1998,CCA3241,2085,Eucalyptus glaucina,D.Nicolle,2085,32,33,54,151,36,8,156,23,Alive,None evident,,None evident,Flowered,2085,1998,Eucalyptus glaucina,Eucalyptus glaucina,Exsertaria,9.56,6.97,9.76,7.1,2.625,0.560747664,2.14,1.2,2.5306,"Paterson, NSW",0,-32.565,151.6022222,NSW,Combination,5698,1644,0.5698,18.12083244,23.29999924,12.48333359,937,126,36,36.08261108,354,128,322,147,11.59166622,49.96408081,434.0478516,29.60000038,6.400000095,23.20000076,22.89999962,13.41666698,0.1644,936.8356,Threatened
360,R156/T24,-27.98,1.2,48.5,Eucalyptus glaucina,DN 2085,"Paterson, NSW",1998,CCA3242,2085,Eucalyptus glaucina,D.Nicolle,2085,32,33,54,151,36,8,156,24,Alive,Slight,,None evident,Flowered,2085,1998,Eucalyptus glaucina,Eucalyptus glaucina,Exsertaria,11.47,8.85,10.65,7.78,2.745,0.588679245,2.65,1.56,3.1356,"Paterson, NSW",0,-32.565,151.6022222,NSW,Combination,5698,1644,0.5698,18.12083244,23.29999924,12.48333359,937,126,36,36.08261108,354,128,322,147,11.59166622,49.96408081,434.0478516,29.60000038,6.400000095,23.20000076,22.89999962,13.41666698,0.1644,936.8356,Threatened
364,R158/T29,-28.98,1.4,52.5,Eucalyptus seeana,DN 2089,"Lake Cathie, NSW",1998,CCA3254,2089,Eucalyptus seeana,D.Nicolle,2089,31,31,28,152,47,33,158,29,Alive,Moderate,,Slight,Flowered,2089,1998,Eucalyptus seeana,Eucalyptus seeana,Exsertaria,9.33,8.3,8.96,7.68,1.155,0.545098039,2.55,1.39,0.9661,"Lake Cathie, NSW",1,-31.52444444,152.7925,"NSW,Qld",Combination,8855,1599,0.8855,18.13750076,22.43333435,13.3166666,1416,195,42,37.68673706,507,165,439,231,9.341667175,48.65451431,369.2444763,26.70000076,7.5,19.20000076,22.33333397,14.01666641,0.1599,1415.8401,
365,R158/T30,-29.82,1.9,52.1,Eucalyptus seeana,DN 2089,"Lake Cathie, NSW",1998,CCA3255,2089,Eucalyptus seeana,D.Nicolle,2089,31,31,28,152,47,33,158,30,Alive,Slight,,None evident,Flowered,2089,1998,Eucalyptus seeana,Eucalyptus seeana,Exsertaria,9.73,8.09,9.76,8.12,1.64,0.551330798,2.63,1.45,0.7982,"Lake Cathie, NSW",0,-31.52444444,152.7925,"NSW,Qld",Combination,8855,1599,0.8855,18.13750076,22.43333435,13.3166666,1416,195,42,37.68673706,507,165,439,231,9.341667175,48.65451431,369.2444763,26.70000076,7.5,19.20000076,22.33333397,14.01666641,0.1599,1415.8401,
366,R158/T31,-30.24,1.3,52.4,Eucalyptus seeana,DN 2089,"Lake Cathie, NSW",1998,CCA3256,2089,Eucalyptus seeana,D.Nicolle,2089,31,31,28,152,47,33,158,31,Alive,Slight,,Severe,Flowered,2089,1998,Eucalyptus seeana,Eucalyptus seeana,Exsertaria,9.66,8.09,9.79,7.79,1.785,0.547101449,2.76,1.51,1.0948,"Lake Cathie, NSW",3,-31.52444444,152.7925,"NSW,Qld",Combination,8855,1599,0.8855,18.13750076,22.43333435,13.3166666,1416,195,42,37.68673706,507,165,439,231,9.341667175,48.65451431,369.2444763,26.70000076,7.5,19.20000076,22.33333397,14.01666641,0.1599,1415.8401,
369,R165/T08,-29,1.1,47.4,Eucalyptus tardecidens,DN 2521,"Maitland Downs, Qld",1999,CCA3315,2521,Eucalyptus tardecidens,D.Nicolle,2521,16,22,42,144,44,10,165,8,Alive,None evident,,None evident,Flowered,2521,1999,Eucalyptus tardecidens,Eucalyptus tardecidens,Adnataria,9.83,7.58,9.56,7.97,1.92,0.603773585,2.12,1.28,2.528,"Maitland Downs, Qld",0,-16.37833333,144.7361111,Qld,Combination,4435,2069,0.4435,24.18333435,26.83333397,20.76666641,918,249,3,112.8041458,618,14,405,19,11.30000019,59.78835678,246.4690094,33.20000076,14.30000019,18.90000153,26.13333321,21.58333397,0.2069,917.7931,
370,R165/T10,-28.85,1,49.4,Eucalyptus tardecidens,DN 2521,"Maitland Downs, Qld",1999,CCA3317,2521,Eucalyptus tardecidens,D.Nicolle,2521,16,22,42,144,44,10,165,10,Alive,None evident,,None evident,Flowered,2521,1999,Eucalyptus tardecidens,Eucalyptus tardecidens,Adnataria,7.68,5.9,7.41,6.13,1.53,0.607361963,1.63,0.99,2.4969,"Maitland Downs, Qld",0,-16.37833333,144.7361111,Qld,Combination,4435,2069,0.4435,24.18333435,26.83333397,20.76666641,918,249,3,112.8041458,618,14,405,19,11.30000019,59.78835678,246.4690094,33.20000076,14.30000019,18.90000153,26.13333321,21.58333397,0.2069,917.7931,
371,R165/T11,-27.13,1.1,49.4,Eucalyptus tardecidens,DN 2521,"Maitland Downs, Qld",1999,CCA3318,2521,Eucalyptus tardecidens,D.Nicolle,2521,16,22,42,144,44,10,165,11,Alive,None evident,,None evident,,2521,1999,Eucalyptus tardecidens,Eucalyptus tardecidens,Adnataria,11.63,9.26,10.75,8.47,2.325,0.654901961,2.55,1.67,3.1781,"Maitland Downs, Qld",0,-16.37833333,144.7361111,Qld,Combination,4435,2069,0.4435,24.18333435,26.83333397,20.76666641,918,249,3,112.8041458,618,14,405,19,11.30000019,59.78835678,246.4690094,33.20000076,14.30000019,18.90000153,26.13333321,21.58333397,0.2069,917.7931,
372,R165/T27,-28.85,2,51.2,Eucalyptus brassiana,DN 2512,"Coen, Qld",1999,CCA3324,2512,Eucalyptus brassiana,D.Nicolle,2512,14,36,54,143,27,4,165,27,Alive,Slight,,None evident,Flowered,2512,1999,Eucalyptus brassiana,Eucalyptus brassiana,Exsertaria,11.25,8.7,11.23,8.48,2.65,0.428319672,2.44,1.0451,1.29,"Coen, Qld",0,-14.615,143.4511111,"Qld,PNG",Combination,5573,2140,0.5573,25.07500076,27.5,21.91666603,1193,320,3,118.6726837,825,12,530,16,12.08333302,61.64965439,226.5100708,34.40000153,14.80000019,19.60000229,26.83333397,22.60000038,0.214,1192.786,
373,R165/T28,-28.49,1.8,50.1,Eucalyptus brassiana,DN 2512,"Coen, Qld",1999,CCA3325,2512,Eucalyptus brassiana,D.Nicolle,2512,14,36,54,143,27,4,165,28,Alive,Severe,,None evident,,2512,1999,Eucalyptus brassiana,Eucalyptus brassiana,Exsertaria,9.13,7.38,8.78,7.95,1.29,0.592105263,2.28,1.35,1.2653,"Coen, Qld",0,-14.615,143.4511111,"Qld,PNG",Combination,5573,2140,0.5573,25.07500076,27.5,21.91666603,1193,320,3,118.6726837,825,12,530,16,12.08333302,61.64965439,226.5100708,34.40000153,14.80000019,19.60000229,26.83333397,22.60000038,0.214,1192.786,
374,R165/T30,-27.69,1.7,49.8,Eucalyptus brassiana,DN 2512,"Coen, Qld",1999,CCA3327,2512,Eucalyptus brassiana,D.Nicolle,2512,14,36,54,143,27,4,165,30,Alive,Moderate,,None evident,Flowered,2512,1999,Eucalyptus brassiana,Eucalyptus brassiana,Exsertaria,9.77,7.93,8.57,6.61,1.9,0.564356436,2.02,1.14,1.383,"Coen, Qld",0,-14.615,143.4511111,"Qld,PNG",Combination,5573,2140,0.5573,25.07500076,27.5,21.91666603,1193,320,3,118.6726837,825,12,530,16,12.08333302,61.64965439,226.5100708,34.40000153,14.80000019,19.60000229,26.83333397,22.60000038,0.214,1192.786,
375,R165/T32,-29.59,1.2,50.5,Eucalyptus staigeriana,DN 2520,"Maitland Downs, Qld",1999,CCA3329,2520,Eucalyptus staigeriana,D.Nicolle,2520,16,12,10,144,45,7,165,32,Alive,None evident,,None evident,Flowered,2520,1999,Eucalyptus staigeriana,Eucalyptus staigeriana,Adnataria,8.09,6.06,7.64,5.67,2,0.6,1.55,0.93,2.1976,"Maitland Downs, Qld",0,-16.20277778,144.7519444,Qld,Combination,4802,2044,0.4802,23.82916641,26.36666679,20.54999924,982,255,4,116.6608963,681,15,429,18,11.34166718,60.65062332,236.4842834,32.70000076,14,18.70000076,25.71666718,21.31666756,0.2044,981.7956,
376,R165/T33,-30.66,1.3,50.9,Eucalyptus staigeriana,DN 2520,"Maitland Downs, Qld",1999,CCA3330,2520,Eucalyptus staigeriana,D.Nicolle,2520,16,12,10,144,45,7,165,33,Alive,None evident,,None evident,Flowered,2520,1999,Eucalyptus staigeriana,Eucalyptus staigeriana,Adnataria,7.62,5.55,7.57,5.7,1.97,0.580882353,1.36,0.79,1.1721,"Maitland Downs, Qld",0,-16.20277778,144.7519444,Qld,Combination,4802,2044,0.4802,23.82916641,26.36666679,20.54999924,982,255,4,116.6608963,681,15,429,18,11.34166718,60.65062332,236.4842834,32.70000076,14,18.70000076,25.71666718,21.31666756,0.2044,981.7956,
377,R165/T34,-30.43,1.2,50.5,Eucalyptus staigeriana,DN 2520,"Maitland Downs, Qld",1999,CCA3331,2520,Eucalyptus staigeriana,D.Nicolle,2520,16,12,10,144,45,7,165,34,Alive,None evident,,None evident,,2520,1999,Eucalyptus staigeriana,Eucalyptus staigeriana,Adnataria,5.9,4.2,5.61,4.08,1.615,0.630136986,0.73,0.46,1.433,"Maitland Downs, Qld",0,-16.20277778,144.7519444,Qld,Combination,4802,2044,0.4802,23.82916641,26.36666679,20.54999924,982,255,4,116.6608963,681,15,429,18,11.34166718,60.65062332,236.4842834,32.70000076,14,18.70000076,25.71666718,21.31666756,0.2044,981.7956,
378,R166/T01,-28.91,1.1,48,Eucalyptus sp. Mt Garnet,DN 2506,"Mt Garnet, Qld",1999,CCA3332,2506,Eucalyptus moluccana (northern variant),D.Nicolle,2506,17,43,39,145,2,51,166,1,Alive,Slight,,None evident,Flowered,2506,1999,Eucalyptus sp. Mt Garnet,Eucalyptus moluccana (northern variant),Adnataria,12.58,9.71,12.81,9.87,2.905,0.631578947,3.8,2.4,7.2548,"Mt Garnet, Qld",0,-17.7275,145.0475,"Qld,NSW",Combination,4462,1969,0.4462,21.47500038,24.81666756,17.06666565,879,210,6,101.2084579,548,29,531,39,11.73333359,56.14035416,320.9184265,31,10.10000038,20.89999962,24.33333397,18.14999962,0.1969,878.8031,
379,R166/T02,-27.91,1.2,49.2,Eucalyptus sp. Mt Garnet,DN 2506,"Mt Garnet, Qld",1999,CCA3333,2506,Eucalyptus moluccana (northern variant),D.Nicolle,2506,17,43,39,145,2,51,166,2,Alive,None evident,,None evident,Flowered,2506,1999,Eucalyptus sp. Mt Garnet,Eucalyptus moluccana (northern variant),Adnataria,11.58,7.7,9.94,9.59,2.115,0.625441696,2.83,1.77,9.5781,"Mt Garnet, Qld",0,-17.7275,145.0475,"Qld,NSW",Combination,4462,1969,0.4462,21.47500038,24.81666756,17.06666565,879,210,6,101.2084579,548,29,531,39,11.73333359,56.14035416,320.9184265,31,10.10000038,20.89999962,24.33333397,18.14999962,0.1969,878.8031,
380,R166/T03,-28.29,1.1,49.4,Eucalyptus sp. Mt Garnet,DN 2506,"Mt Garnet, Qld",1999,CCA3334,2506,Eucalyptus moluccana (northern variant),D.Nicolle,2506,17,43,39,145,2,51,166,3,Alive,Moderate,,None evident,Flowered,2506,1999,Eucalyptus sp. Mt Garnet,Eucalyptus moluccana (northern variant),Adnataria,12.08,8.62,11.18,9.53,2.555,0.68,3.25,2.21,6.9504,"Mt Garnet, Qld",0,-17.7275,145.0475,"Qld,NSW",Combination,4462,1969,0.4462,21.47500038,24.81666756,17.06666565,879,210,6,101.2084579,548,29,531,39,11.73333359,56.14035416,320.9184265,31,10.10000038,20.89999962,24.33333397,18.14999962,0.1969,878.8031,
381,R166/T06,-28.3,1.1,49.1,Eucalyptus shirleyi,DN 2508,"Lappa Junction, Qld",1999,CCA3337,2508,Eucalyptus shirleyi ,D.Nicolle,2508,17,37,28,144,59,7,166,6,Alive,None evident,,None evident,Flowered,2508,1999,Eucalyptus shirleyi,Eucalyptus shirleyi,Adnataria,7.24,5.34,7.65,5.62,1.965,0.598360656,1.22,0.73,6.2766,"Lappa Junction, Qld",0,-17.62444444,144.9852778,Qld,Combination,4158,2012,0.4158,21.94166565,25.10000038,17.73333359,837,219,6,110.2162552,543,18,394,23,12.03333282,57.85256195,306.0439148,31.60000038,10.80000019,20.79999924,24.64999962,18.78333282,0.2012,836.7988,
382,R166/T07,-28.07,1.1,46.8,Eucalyptus shirleyi,DN 2508,"Lappa Junction, Qld",1999,CCA3338,2508,Eucalyptus shirleyi ,D.Nicolle,2508,17,37,28,144,59,7,166,7,Alive,None evident,,None evident,Flowered,2508,1999,Eucalyptus shirleyi,Eucalyptus shirleyi,Adnataria,9.11,6.8,8.76,7.06,2.005,0.665271967,2.39,1.59,5.8116,"Lappa Junction, Qld",0,-17.62444444,144.9852778,Qld,Combination,4158,2012,0.4158,21.94166565,25.10000038,17.73333359,837,219,6,110.2162552,543,18,394,23,12.03333282,57.85256195,306.0439148,31.60000038,10.80000019,20.79999924,24.64999962,18.78333282,0.2012,836.7988,
383,R166/T08,-28.9,0.9,46.8,Eucalyptus shirleyi,DN 2508,"Lappa Junction, Qld",1999,CCA3339,2508,Eucalyptus shirleyi ,D.Nicolle,2508,17,37,28,144,59,7,166,8,Alive,None evident,,None evident,Flowered,2508,1999,Eucalyptus shirleyi,Eucalyptus shirleyi,Adnataria,10.59,7.96,10.84,7.54,2.965,0.63255814,2.15,1.36,5.5248,"Lappa Junction, Qld",0,-17.62444444,144.9852778,Qld,Combination,4158,2012,0.4158,21.94166565,25.10000038,17.73333359,837,219,6,110.2162552,543,18,394,23,12.03333282,57.85256195,306.0439148,31.60000038,10.80000019,20.79999924,24.64999962,18.78333282,0.2012,836.7988,
