,RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance.x,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019,UniqueID,Yearplanted,Current.name,TaxonoriginalDN,Section,Diam.1.Bark,Diam.1.peeled,Diam.2.Bark,Diam.2.peeled,bark.thickness,WD,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Provenance.y,Drought2006Scale,latitude,longitude,Stateoccurrence,Regeneration.Strategy,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
35,R047/T20,-28.83,1.1,48.9,Eucalyptus dawsonii,DN 743,"Ginghi, NSW",1994,CCA0688,743,Eucalyptus dawsonii,D.Nicolle,743,32,36,31,150,4,29,47,20,Alive,Slight,,None evident,Flowered,743,1994,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,11.44,8.59,11.32,9.12,2.525,1.025261194,2.68,2.7477,1.73,"Ginghi, NSW",0,-32.60861111,150.0747222,NSW,Combination,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
36,R047/T21,-28.13,1.2,49.3,Eucalyptus dawsonii,DN 743,"Ginghi, NSW",1994,CCA0689,743,Eucalyptus dawsonii,D.Nicolle,743,32,36,31,150,4,29,47,21,Alive,Slight,,None evident,Flowered,743,1994,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,9.47,6.93,8.39,7.53,1.7,1.555891892,1.85,2.8784,1.22,"Ginghi, NSW",0,-32.60861111,150.0747222,NSW,Combination,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
37,R048/T13,-25.9,0.9,50,Eucalyptus melliodora,DN 777,"Rylstone, NSW",1994,CCA0704,777,Eucalyptus melliodora,D.Nicolle,777,32,42,44,149,57,58,48,13,Alive,Slight,,None evident,Flowered,777,1994,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,12.06,9.38,12.93,9.88,2.865,0.786715116,3.44,2.7063,2.17,"Rylstone, NSW",0,-32.71222222,149.9661111,"NSW,Vic,Qld",Combination,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
38,R048/T14,-28.91,1,48.2,Eucalyptus melliodora,DN 777,"Rylstone, NSW",1994,CCA0705,777,Eucalyptus melliodora,D.Nicolle,777,32,42,44,149,57,58,48,14,Alive,None evident,,None evident,Flowered,777,1994,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,12.27,9.23,11.96,9.51,2.745,0.608166667,3.6,2.1894,2.43,"Rylstone, NSW",0,-32.71222222,149.9661111,"NSW,Vic,Qld",Combination,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
39,R048/T15,-27.78,1.2,48.3,Eucalyptus melliodora,DN 777,"Rylstone, NSW",1994,CCA0706,777,Eucalyptus melliodora,D.Nicolle,777,32,42,44,149,57,58,48,15,Alive,Slight,,None evident,Flowered,777,1994,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,13.61,9.24,12.1,11.06,2.705,0.58541779,3.71,2.1719,2.48,"Rylstone, NSW",0,-32.71222222,149.9661111,"NSW,Vic,Qld",Combination,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
40,R048/T18,-28.75,1,47.7,Eucalyptus caleyi subsp. caleyi,DN 746,"Bylong, NSW",1994,CCA0709,746,Eucalyptus caleyi subsp. caleyi,D.Nicolle,746,32,24,13,150,13,41,48,18,Alive,None evident,,None evident,Flowered,746,1994,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,Adnataria,13.44,10.53,13.26,10.24,2.965,1.160263852,3.79,4.3974,2.44,"Bylong, NSW",0,-32.40361111,150.2280556,"NSW,Qld",Combination,3752,1726,0.3752,16.875,23.08333,10.33333,648,93,33,29.87578,225,120,225,120,12.21667,46.80715,513.5372,29.9,3.8,26.1,23.08333,10.33333,0.1726,647.8274,
41,R048/T19,-29.09,0.9,47,Eucalyptus caleyi subsp. caleyi,DN 746,"Bylong, NSW",1994,CCA0710,746,Eucalyptus caleyi subsp. caleyi,D.Nicolle,746,32,24,13,150,13,41,48,19,Alive,None evident,,None evident,Flowered,746,1994,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,Adnataria,15.43,11.74,16.13,12.24,3.79,0.775986395,5.88,4.5628,3.96,"Bylong, NSW",0,-32.40361111,150.2280556,"NSW,Qld",Combination,3752,1726,0.3752,16.875,23.08333,10.33333,648,93,33,29.87578,225,120,225,120,12.21667,46.80715,513.5372,29.9,3.8,26.1,23.08333,10.33333,0.1726,647.8274,
42,R048/T22,-29.56,1.1,49.2,Eucalyptus polybractea,DN 736,"West Wyalong, NSW",1994,CCA0713,736,Eucalyptus polybractea,D.Nicolle,736,33,53,32,147,4,24,48,22,Alive,None evident,,None evident,Flowered,736,1994,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,10.51,8.08,10.91,8.42,2.46,0.531498127,2.67,1.4191,2.09,"West Wyalong, NSW",0,-33.89222222,147.0733333,"Vic,SA,NSW",Lignotuber,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
43,R048/T23,-29.8,0.9,49.3,Eucalyptus polybractea,DN 736,"West Wyalong, NSW",1994,CCA0714,736,Eucalyptus polybractea,D.Nicolle,736,33,53,32,147,4,24,48,23,Alive,None evident,,None evident,Flowered,736,1994,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,9.49,7.92,8.39,6.67,1.645,1.314625551,2.27,2.9842,1.72,"West Wyalong, NSW",0,-33.89222222,147.0733333,"Vic,SA,NSW",Lignotuber,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
44,R048/T24,-28.8,1,49.9,Eucalyptus polybractea,DN 736,"West Wyalong, NSW",1994,CCA0715,736,Eucalyptus polybractea,D.Nicolle,736,33,53,32,147,4,24,48,24,Alive,None evident,,None evident,Flowered,736,1994,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,12.35,8.45,11.36,9.28,2.99,0.920318471,3.14,2.8898,2.33,"West Wyalong, NSW",0,-33.89222222,147.0733333,"Vic,SA,NSW",Lignotuber,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
45,R048/T25,-28.27,1.3,48.7,Eucalyptus dwyeri,DN 751,"Wollar, NSW",1994,CCA0716,751,Eucalyptus dwyeri,D.Nicolle,751,32,18,7,150,2,50,48,25,Alive,None evident,,Moderate,Flowered,751,1994,Eucalyptus dwyeri,Eucalyptus dwyeri,Exsertaria,10.37,8.28,13.06,11.08,2.035,0.631203209,3.74,2.3607,2.28,"Wollar, NSW",2,-32.30194444,150.0472222,NSW,Uncertain,3934,1682,0.3934,16.08333,22.36667,9.516666,662,95,36,27.89203,222,125,222,126,11.38333,45.17196,518.2371,28.8,3.6,25.2,22.36667,12.96667,0.1682,661.8318,
46,R048/T28,-28.65,0.8,50.7,Eucalyptus dwyeri,DN 751,"Wollar, NSW",1994,CCA0719,751,Eucalyptus dwyeri,D.Nicolle,751,32,18,7,150,2,50,48,28,Alive,None evident,,None evident,Flowered,751,1994,Eucalyptus dwyeri,Eucalyptus dwyeri,Exsertaria,10.3,8.57,9.57,7.39,1.955,1.291484375,2.56,3.3062,1.82,"Wollar, NSW",0,-32.30194444,150.0472222,NSW,Uncertain,3934,1682,0.3934,16.08333,22.36667,9.516666,662,95,36,27.89203,222,125,222,126,11.38333,45.17196,518.2371,28.8,3.6,25.2,22.36667,12.96667,0.1682,661.8318,
47,R048/T27,-27.32,1,50.4,Eucalyptus dwyeri,DN 751,"Wollar, NSW",1994,CCA0718,751,Eucalyptus dwyeri,D.Nicolle,751,32,18,7,150,2,50,48,27,Alive,None evident,,Moderate,Flowered,751,1994,Eucalyptus dwyeri,Eucalyptus dwyeri,Exsertaria,13.6,10.07,11.97,11.1,2.2,0.672995495,4.44,2.9881,3.03,"Wollar, NSW",2,-32.30194444,150.0472222,NSW,Uncertain,3934,1682,0.3934,16.08333,22.36667,9.516666,662,95,36,27.89203,222,125,222,126,11.38333,45.17196,518.2371,28.8,3.6,25.2,22.36667,12.96667,0.1682,661.8318,
48,R049/T01,-28.06,1,48.9,Eucalyptus viridis,DN 729,"Hermidale, NSW",1994,CCA0728,729,Eucalyptus viridis,D.Nicolle,729,31,33,37,146,30,33,49,1,Alive,None evident,,None evident,Flowered,690,1994,Eucalyptus viridis,Eucalyptus viridis,Adnataria,11.64,8.99,11.04,9.01,2.34,0.720779661,2.95,2.1263,2.2,"Hermidale, NSW",0,-31.56027778,146.5091667,"NSW,Vic,Qld",Lignotuber,1985,2090,0.1985,18.2875,25.71667,10.61667,415,59,22,28.41955,141,82,141,82,12.575,43.6632,610.4846,33.1,4.3,28.8,25.71667,10.61667,0.209,414.791,
