"","RowTree","d13C","totalN","totalC","UniqueID","Yearplanted","Current.name","TaxonoriginalDN","Section","PackedForSequencing","Diam.1.Bark","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Volume.wood","Leaf.dry.weight","Wood.dry.weight","Taxonsimplified_DN","Acceptedname_ALA","Note.Gbif","Taxonresolution_ALA","Collector","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2019Scale","Drought2020","Drought2020Scale","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted.1","Drought2006Scale","latitude","longitude","Binomial.Dean.Nicolle","Stateoccurrence","Regeneration.Strategy","CCA","ai_et0","et0_yr","AICorrected","MAT","TWQ","TCQ","MAP","PWM","PDM","PS","PWarmQ","PDQ","PWetQ","PCQ","MDR","ISOT","TS","MaxTWM","MinTCM","TAR","MTWQ","MeanTDQ","et0_yr_corrected","PrecDeficit","ConsevationStatusNSW"
"71","R066/T32",-27.94,1,51,980,1995,"Eucalyptus largiflorens","Eucalyptus largiflorens","Adnataria","x",11.96,9.45,7.25,9.41,2.61,2.9227,1.91,"Eucalyptus largiflorens","Eucalyptus largiflorens","","Species","D.Nicolle","Wentworth, NSW",34,0,48,141,55,33,66,32,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-34.01333333,141.9258333,"Eucalyptus largiflorens","Vic,NSW,SA,Qld","Combination","Y",1374,2109,0.1374,17.65833,24.38333,10.98333,290,31,16,17.01355,90,59,67,78,14.06667,49.35673,543.3266,33.1,4.6,28.5,14.51667,21.45,0.2109,289.7891,""
"72","R066/T33",-29.8,1,50.3,980,1995,"Eucalyptus largiflorens","Eucalyptus largiflorens","Adnataria","x",9.04,8.86,7.13,7.2,2.09,1.4893,1.39,"Eucalyptus largiflorens","Eucalyptus largiflorens","","Species","D.Nicolle","Wentworth, NSW",34,0,48,141,55,33,66,33,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-34.01333333,141.9258333,"Eucalyptus largiflorens","Vic,NSW,SA,Qld","Combination","Y",1374,2109,0.1374,17.65833,24.38333,10.98333,290,31,16,17.01355,90,59,67,78,14.06667,49.35673,543.3266,33.1,4.6,28.5,14.51667,21.45,0.2109,289.7891,""
"73","R066/T34",-28.82,0.9,49.8,822,1995,"Eucalyptus odorata","Eucalyptus odorata","Adnataria","x",10.57,10.79,9.06,7.69,2.76,3.0553,2.01,"Eucalyptus odorata","Eucalyptus odorata","","Species","D.Nicolle","Kangaroo Island, SA",35,41,35,137,31,52,66,34,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-35.69305556,137.5311111,"Eucalyptus odorata","SA,Vic","Combination","Y",2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,""
"74","R066/T36",-28.33,1.3,49,822,1995,"Eucalyptus odorata","Eucalyptus odorata","Adnataria","x",10.22,10.14,8.01,8.14,2.49,1.9025,1.8,"Eucalyptus odorata","Eucalyptus odorata","","Species","D.Nicolle","Kangaroo Island, SA",35,41,35,137,31,52,66,36,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-35.69305556,137.5311111,"Eucalyptus odorata","SA,Vic","Combination","Y",2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,""
"75","R066/T37",-28.53,0.9,51.1,822,1995,"Eucalyptus odorata","Eucalyptus odorata","Adnataria","x",8.33,9.1,7.97,6.88,2.05,2.6207,1.53,"Eucalyptus odorata","Eucalyptus odorata","","Species","D.Nicolle","Kangaroo Island, SA",35,41,35,137,31,52,66,37,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-35.69305556,137.5311111,"Eucalyptus odorata","SA,Vic","Combination","Y",2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,""
"76","R068/T10",-27.69,1.5,49,1154,1995,"Eucalyptus absita","Eucalyptus absita","Adnataria","x",12.64,13.01,9.53,9.45,3.35,4.2415,2.21,"Eucalyptus absita","Eucalyptus absita","","Species","D.Nicolle","Badgingarra, WA",30,26,13,115,34,32,68,10,"Alive","Moderate","2","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1995,"0",-30.43694444,115.5755556,"Eucalyptus absita","WA","Lignotuber","Y",2540,2223,0.254,18.63750076,24.98333359,12.89999962,565,110,9,76.91886139,300,37,47,300,13.82499981,51.20370102,503.5786743,34.20000076,7.199999809,27,12.89999962,24.73333359,0.2223,564.7777,""
"77","R069/T23",-28.09,1.4,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","R069/T25",-27.66,1,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R069/T26",-27.99,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","R069/T32",-26.09,1.5,49.2,1131,1995,"Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","Exsertaria","x",6.66,6.93,5.07,5.27,1.18,1.0948,0.64,"Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","","Subspecies","D.Nicolle","Pallinup River, WA",34,24,21,118,43,48,69,32,"Alive","Severe","3","Severe","3","?","Scattered","Tertiary branches","3 - 6 months","None evident","","Severe","Flowered","Flowered",1995,"3",-34.40583333,118.73,"Eucalyptus rudis subsp. rudis","WA","Combination","Y",2801,1695,0.2801,16.34166718,20.58333397,12.1833334,475,63,18,36.12965775,169,66,74,159,11.88333321,56.8580513,346.6123962,27.60000038,6.699999809,20.90000153,13.1833334,20.41666603,0.1695,474.8305,""
"81","R069/T34",-26.71,1.9,49.3,1131,1995,"Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","Exsertaria","x",12.08,11.81,9.57,9.24,3.58,2.4873,1.77,"Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","","Subspecies","D.Nicolle","Pallinup River, WA",34,24,21,118,43,48,69,34,"Alive","Moderate","2","Moderate","2","?","None evident","","","","","Severe","Flowered","Flowered",1995,"3",-34.40583333,118.73,"Eucalyptus rudis subsp. rudis","WA","Combination","Y",2801,1695,0.2801,16.34166718,20.58333397,12.1833334,475,63,18,36.12965775,169,66,74,159,11.88333321,56.8580513,346.6123962,27.60000038,6.699999809,20.90000153,13.1833334,20.41666603,0.1695,474.8305,""
"82","R065/T15",-27.41,0.7,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","R065/T16",-27.16,0.7,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","R065/T17",-27.59,0.7,47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","R070/T37",-27.89,1.1,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","R070/T40",-27.75,0.8,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","R071/T08",-26.96,0.9,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","R071/T10",-27.68,0.8,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","R071/T11",-27.63,0.9,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","R071/T13",-27.02,0.8,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","R071/T15",-28.48,0.9,52.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","R071/T28",-27.21,1.5,51,823,1995,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","Exsertaria","x",10.06,10.02,7.94,7.76,2.46,2.7563,1.48,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","","Subspecies","D.Nicolle","Kangaroo Island, SA",35,41,50,137,31,21,71,28,"Alive","Slight","1","None evident","0","?","None evident","","","","","None evident","Flowered","Flowered",1995,"0",-35.69722222,137.5225,"Eucalyptus camaldulensis subsp. camaldulensis","Vic,NSW,SA,Qld","Combination","Y",2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,""
"93","R071/T29",-26.95,1.6,51,823,1995,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","Exsertaria","x",8.09,8.36,6.83,6.55,1.73,2.3145,1.01,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","","Subspecies","D.Nicolle","Kangaroo Island, SA",35,41,50,137,31,21,71,29,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-35.69722222,137.5225,"Eucalyptus camaldulensis subsp. camaldulensis","Vic,NSW,SA,Qld","Combination","Y",2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,""
"94","R071/T30",-28.22,1.3,52.3,823,1995,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","Exsertaria","x",12.3,11.3,9.47,8.16,2.85,3.0638,1.61,"Eucalyptus camaldulensis subsp. camaldulensis","Eucalyptus camaldulensis subsp. camaldulensis","","Subspecies","D.Nicolle","Kangaroo Island, SA",35,41,50,137,31,21,71,30,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-35.69722222,137.5225,"Eucalyptus camaldulensis subsp. camaldulensis","Vic,NSW,SA,Qld","Combination","Y",2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,""
"95","R072/T04",-27.17,1.1,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","R072/T05",-27.6,1.1,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","R072/T07",-25.87,0.7,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","R029/T06",-26.99,1.2,48,NA,1993,"Eucalyptus flindersii","Eucalyptus flindersii","Exsertaria","x",9.24,9.14,7.03,7.31,2.13,3.2845,1.38,"Eucalyptus flindersii","Eucalyptus flindersii","","Species","-","Devils Peak, SA",32,24,53,137,59,17,29,6,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1993,"0",-32.41472222,137.9880556,"Eucalyptus flindersii","SA","Lignotuber","Y",1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,""
"99","R029/T07",-26.25,1,48.4,NA,1993,"Eucalyptus flindersii","Eucalyptus flindersii","Exsertaria","x",8.01,7.67,5.55,6.24,1.39,3.2047,0.94,"Eucalyptus flindersii","Eucalyptus flindersii","","Species","-","Devils Peak, SA",32,24,53,137,59,17,29,7,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1993,"0",-32.41472222,137.9880556,"Eucalyptus flindersii","SA","Lignotuber","Y",1907,2265,0.1907,16.23333,22.85,9.55,432,51,22,29.47174,143,72,78,143,12.4,46.26866,542.022,30.9,4.1,26.8,9.55,22.6,0.2265,431.7735,""
"100","R029/709",-26.37,1.4,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","R011/T27",-28.55,1.1,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","R011/T28",-26.34,0.9,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","R011/T30",-26.54,1.1,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","R016/T41",-27.17,1.6,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","R016/T42",-29.19,1.6,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","R016/T43",-29.66,1.4,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","R039/T09",-26.56,1.7,49.8,545,1994,"Eucalyptus lucasii","Eucalyptus lucasii","Adnataria","x",8.27,8.45,6.43,6.09,1.23,3.9716,0.89,"Eucalyptus lucasii","Eucalyptus lucasii","","Species","D.Nicolle","Wiluna, WA",26,35,28,120,6,59,39,9,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.59111111,120.1163889,"Eucalyptus lucasii","WA","Lignotuber","Y",911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,""
"108","R039/T11",-25.84,1.5,50.5,545,1994,"Eucalyptus lucasii","Eucalyptus lucasii","Adnataria","x",7.5,7.34,5.63,5.27,1.21,4.1702,0.84,"Eucalyptus lucasii","Eucalyptus lucasii","","Species","D.Nicolle","Wiluna, WA",26,35,28,120,6,59,39,11,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.59111111,120.1163889,"Eucalyptus lucasii","WA","Lignotuber","Y",911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,""
"109","R039/T12",-25.41,1.4,48.7,545,1994,"Eucalyptus lucasii","Eucalyptus lucasii","Adnataria","x",10.76,9.79,7.57,8.46,2.63,2.9318,1.93,"Eucalyptus lucasii","Eucalyptus lucasii","","Species","D.Nicolle","Wiluna, WA",26,35,28,120,6,59,39,12,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.59111111,120.1163889,"Eucalyptus lucasii","WA","Lignotuber","Y",911,3015,0.0911,21.86667,29.85,13.38333,275,45,4,50.25203,109,24,104,57,14.31667,43.78186,668.5409,38.3,5.6,32.7,29.26667,18.1,0.3015,274.6985,""
"110","R040/T12",-28.61,1.5,49.1,482,1994,"Eucalyptus porosa","Eucalyptus porosa","Adnataria","x",8.05,8.59,6.57,6.65,1.73,1.6411,1.17,"Eucalyptus porosa","Eucalyptus porosa","","Species","D.Nicolle","Mt Wudinna, SA",32,59,9,135,32,49,40,12,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.98583333,135.5469444,"Eucalyptus porosa","SA,Vic,NSW","Combination","Y",1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,""
"111","R040/T14",-27.29,1.3,50.2,482,1994,"Eucalyptus porosa","Eucalyptus porosa","Adnataria","x",8.67,7.93,6.25,7.29,1.76,1.2349,1.35,"Eucalyptus porosa","Eucalyptus porosa","","Species","D.Nicolle","Mt Wudinna, SA",32,59,9,135,32,49,40,14,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.98583333,135.5469444,"Eucalyptus porosa","SA,Vic,NSW","Combination","Y",1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,""
"112","R040/T15",-30.39,1.1,50.3,482,1994,"Eucalyptus porosa","Eucalyptus porosa","Adnataria","x",10.83,11.25,9.09,8.98,2.36,2.4295,1.77,"Eucalyptus porosa","Eucalyptus porosa","","Species","D.Nicolle","Mt Wudinna, SA",32,59,9,135,32,49,40,15,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.98583333,135.5469444,"Eucalyptus porosa","SA,Vic,NSW","Combination","Y",1605,2080,0.1605,16.8875,22.51667,11.15,334,43,12,39.51138,125,42,48,124,14.50833,53.93433,462.0071,32,5.1,26.9,11.88333,22.31667,0.208,333.792,""
"113","R041/T32",-28.4,0.7,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","R041/T33",-28.42,0.8,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","R041/T34",-27.64,0.8,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","R042/T08",-25.6,1,50.6,427,1994,"Eucalyptus sparsa","Eucalyptus sparsa","Adnataria","x",7.58,7.49,5.99,6.11,1.45,2.8952,1.03,"Eucalyptus sparsa","Eucalyptus sparsa","","Species","D.Nicolle","Everard Ranges, SA",27,0,34,132,30,56,42,8,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.00944444,132.5155556,"Eucalyptus sparsa","SA,WA,NT","Lignotuber","Y",956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,""
