species,section,latitude,longitude
Eucalyptus largiflorens,Adnataria,-34.01333333,141.9258333
Eucalyptus largiflorens,Adnataria,-34.01333333,141.9258333
Eucalyptus largiflorens,Adnataria,-34.01333333,141.9258333
Eucalyptus odorata,Adnataria,-35.69305556,137.5311111
Eucalyptus odorata,Adnataria,-35.69305556,137.5311111
Eucalyptus odorata,Adnataria,-35.69305556,137.5311111
Eucalyptus absita,Adnataria,-30.43694444,115.5755556
Eucalyptus rudis subsp. rudis,Exsertaria,-34.40583333,118.73
Eucalyptus rudis subsp. rudis,Exsertaria,-34.40583333,118.73
Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,-35.69722222,137.5225
Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,-35.69722222,137.5225
Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,-35.69722222,137.5225
Eucalyptus gillenii,Exsertaria,-23.725,133.8572222
Eucalyptus gillenii,Exsertaria,-23.725,133.8572222
Eucalyptus gillenii,Exsertaria,-23.725,133.8572222
Eucalyptus behriana,Adnataria,-34.35388889,138.7869444
Eucalyptus behriana x E. odorata,Adnataria,-34.35388889,138.7869444
Eucalyptus behriana x E. odorata,Adnataria,-34.35388889,138.7869444
Eucalyptus petiolaris (yellow flower morph),Adnataria,-34.48583333,135.8575
Eucalyptus petiolaris (yellow flower morph),Adnataria,-34.48583333,135.8575
Eucalyptus petiolaris (yellow flower morph),Adnataria,-34.48583333,135.8575
Eucalyptus albopurpurea (atypical form),Adnataria,-35.74694444,137.6383333
Eucalyptus albopurpurea (atypical form),Adnataria,-35.74694444,137.6383333
Eucalyptus albopurpurea (atypical form),Adnataria,-35.74694444,137.6383333
Eucalyptus albopurpurea (atypical form),Adnataria,-35.74694444,137.6383333
Eucalyptus albopurpurea,Adnataria,-34.83972222,135.6983333
Eucalyptus albopurpurea,Adnataria,-34.83972222,135.6983333
Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,-32.87083333,151.0208333
Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,-32.87083333,151.0208333
Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,-32.87083333,151.0208333
Eucalyptus coolabah,Adnataria,-24.73611111,133.1827778
Eucalyptus coolabah,Adnataria,-24.73611111,133.1827778
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88,139.4530556
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88,139.4530556
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88,139.4530556
Eucalyptus microcarpa (Adelaide variant),Adnataria,-35.08583333,138.5605556
Eucalyptus microcarpa (Adelaide variant),Adnataria,-35.08583333,138.5605556
Eucalyptus microcarpa (Adelaide variant),Adnataria,-35.08583333,138.5605556
Eucalyptus ammophila,Exsertaria,-23.56,145.7183333
Eucalyptus ammophila,Exsertaria,-23.56,145.7183333
Eucalyptus ammophila,Exsertaria,-23.56,145.7183333
Eucalyptus wimmerensis,Adnataria,-36.06527778,140.7336111
Eucalyptus wimmerensis,Adnataria,-36.06527778,140.7336111
Eucalyptus wimmerensis,Adnataria,-36.06527778,140.7336111
Eucalyptus microcarpa,Adnataria,-33.90361111,147.3011111
Eucalyptus microcarpa,Adnataria,-33.90361111,147.3011111
Eucalyptus microcarpa,Adnataria,-33.90361111,147.3011111
Eucalyptus sicilifolia,Adnataria,-24.08305556,148.0752778
Eucalyptus sicilifolia,Adnataria,-24.08305556,148.0752778
Eucalyptus sicilifolia,Adnataria,-24.08305556,148.0752778
Eucalyptus tholiformis,Adnataria,-24.39694444,147.3713889
Eucalyptus tholiformis,Adnataria,-24.39694444,147.3713889
Eucalyptus tholiformis,Adnataria,-24.39694444,147.3713889
Eucalyptus suffulgens,Adnataria,-25.1925,149.9711111
Eucalyptus suffulgens,Adnataria,-25.1925,149.9711111
Eucalyptus suffulgens,Adnataria,-25.1925,149.9711111
Eucalyptus thozetiana,Adnataria,-23.61972222,146.2561111
Eucalyptus tereticornis subsp. rotunda,Exsertaria,-24.91027778,148.0425
Eucalyptus tereticornis subsp. rotunda,Exsertaria,-24.91027778,148.0425
Eucalyptus tereticornis subsp. rotunda,Exsertaria,-24.91027778,148.0425
Eucalyptus brownii,Adnataria,-20.55888889,145.3622222
Eucalyptus brownii,Adnataria,-20.55888889,145.3622222
Eucalyptus corynodes,Adnataria,-25.46027778,150.3041667
Eucalyptus corynodes,Adnataria,-25.46027778,150.3041667
Eucalyptus exilipes,Adnataria,-20.71083333,145.2222222
Eucalyptus infera,Exsertaria,-28.39944444,151.7030556
Eucalyptus infera,Exsertaria,-28.39944444,151.7030556
Eucalyptus infera,Exsertaria,-28.39944444,151.7030556
Eucalyptus decorticans,Adnataria,-25.38083333,151.1505556
Eucalyptus decorticans,Adnataria,-25.38083333,151.1505556
Eucalyptus decorticans,Adnataria,-25.38083333,151.1505556
Eucalyptus persistens,Adnataria,-20.66111111,145.2541667
Eucalyptus persistens,Adnataria,-20.66111111,145.2541667
Eucalyptus persistens,Adnataria,-20.66111111,145.2541667
Eucalyptus atrata,Adnataria,-17.38694444,145.3322222
Eucalyptus atrata,Adnataria,-17.38694444,145.3322222
Eucalyptus atrata,Adnataria,-17.38694444,145.3322222
Eucalyptus chloroclada,Exsertaria,-28.30027778,151.925
Eucalyptus chloroclada,Exsertaria,-28.30027778,151.925
Eucalyptus chloroclada,Exsertaria,-28.30027778,151.925
Eucalyptus lockyeri,Exsertaria,-17.58861111,145.4647222
Eucalyptus lockyeri,Exsertaria,-17.58861111,145.4647222
Eucalyptus camaldulensis subsp. simulata,Exsertaria,-15.55527778,144.4391667
Eucalyptus camaldulensis subsp. simulata,Exsertaria,-15.55527778,144.4391667
Eucalyptus camaldulensis subsp. simulata,Exsertaria,-15.55527778,144.4391667
Eucalyptus granitica,Adnataria,-17.38722222,145.3461111
Eucalyptus granitica,Adnataria,-17.38722222,145.3461111
Eucalyptus granitica,Adnataria,-17.38722222,145.3461111
Eucalyptus insulana,Exsertaria,-17.09611111,145.5294444
Eucalyptus insulana,Exsertaria,-17.09611111,145.5294444
Eucalyptus insulana,Exsertaria,-17.09611111,145.5294444
Eucalyptus cullenii,Adnataria,-15.96166667,144.8319444
Eucalyptus cullenii,Adnataria,-15.96166667,144.8319444
Eucalyptus bancroftii,Exsertaria,-29.90166667,153.0647222
Eucalyptus bancroftii,Exsertaria,-29.90166667,153.0647222
Eucalyptus propinqua,Exsertaria,-31.28305556,152.8136111
Eucalyptus propinqua,Exsertaria,-31.28305556,152.8136111
Eucalyptus propinqua,Exsertaria,-31.28305556,152.8136111
Eucalyptus albens,Adnataria,-32.9175,138.1588889
Eucalyptus albens,Adnataria,-32.9175,138.1588889
Eucalyptus albens,Adnataria,-32.9175,138.1588889
Eucalyptus fasciculosa,Adnataria,-36.28166667,139.7319444
Eucalyptus fasciculosa,Adnataria,-36.28166667,139.7319444
