UniqueID,Yearplanted,RowTree,Collector,Population,Status,Current.name,FieldID,Status.1,Observations,TaxonoriginalDN,Section,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Victoria ,Anne,Sampled.ANU,Threatened NSW,Final
574,1998,R159/T27,D.Nicolle,"Mt Buffalo, Vic",Alive,Eucalyptus mitchelliana,CCA3268,OK,,Eucalyptus mitchelliana,Eucalyptus,Uncertain,1.2416,8.595833,1498,0,0,2,2,,2,Humid,,,,,
583,1994,R050/T28,D.Nicolle,"Bindi, Vic",Alive,Eucalyptus nortonii,CCA0779,OK,,Eucalyptus nortonii,Maidenaria,Combination,0.4655,12.17083,646,0,0,4,1.25,0.5,4,Semiarid,X,,,,
583,1994,R050/T25,D.Nicolle,"Bindi, Vic",Alive,Eucalyptus nortonii,CCA0776,OK,,Eucalyptus nortonii,Maidenaria,Combination,0.4655,12.17083,646,0,0,4,1.25,0.5,4,Semiarid,X,,,,
583,1994,R050/T27,D.Nicolle,"Bindi, Vic",Alive,Eucalyptus nortonii,CCA0778,OK,,Eucalyptus nortonii,Maidenaria,Combination,0.4655,12.17083,646,0,0,4,1.25,0.5,4,Semiarid,X,,,,
583,1994,R050/T26,D.Nicolle,"Bindi, Vic",Alive,Eucalyptus nortonii,CCA0777,OK,,Eucalyptus nortonii,Maidenaria,Combination,0.4655,12.17083,646,0,0,4,1.25,0.5,4,Semiarid,X,,,,
423,1994,R045/T14,D.Nicolle,"Everard Ranges, SA",Alive,Eucalyptus intertexta,CCA0651,OK,,Eucalyptus intertexta,Adnataria,Combination,0.0934,19.89167,274,0,0,4,0,0,4,Arid,X,x,,,x
423,1994,R045/T15,D.Nicolle,"Everard Ranges, SA",Alive,Eucalyptus intertexta,CCA0652,Only genomics,,Eucalyptus intertexta,Adnataria,Combination,0.0934,19.89167,274,0,0,4,0,0,4,Arid,X,x,,,x
423,1994,R045/T16,D.Nicolle,"Everard Ranges, SA",Alive,Eucalyptus intertexta,CCA0653,OK,,Eucalyptus intertexta,Adnataria,Combination,0.0934,19.89167,274,0,0,4,0,0,4,Arid,X,x,,,x
742,1994,R046/T36,,"Rylstone, NSW",,Eucalyptus polyanthemos subsp. polyanthemos,,,,Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,Combination,0.4899,14.15833,760,0,,,0,,,Semiarid,,x,x,,x
611,1994,R051/T24,D.Nicolle,"Nowra, NSW",Alive,Eucalyptus consideniana,CCA0799,OK,,Eucalyptus consideniana,Eucalyptus,Combination,0.7879,14.1875,1099,2.666666667,0.577350269,4,3,1,4,Humid,,,,,
611,1994,R051/T21,D.Nicolle,"Nowra, NSW",Alive,Eucalyptus consideniana,CCA0797,OK,,Eucalyptus consideniana,Eucalyptus,Combination,0.7879,14.1875,1099,2.666666667,0.577350269,4,3,1,4,Humid,,,,,
611,1994,R051/T22,D.Nicolle,"Nowra, NSW",Alive,Eucalyptus consideniana,CCA0798,OK,,Eucalyptus consideniana,Eucalyptus,Combination,0.7879,14.1875,1099,2.666666667,0.577350269,4,3,1,4,Humid,,,,,
622,2000,R194/T27,D.Nicolle,"Royal National Park, NSW",Alive,Eucalyptus oblonga,CCA3914,OK,,Eucalyptus oblonga,Eucalyptus,Combination,0.7942,16.5625,1205,0.5,,2,0.5,,2,Humid,,,,,
622,2000,R194/T29,D.Nicolle,"Royal National Park, NSW",Alive,Eucalyptus oblonga,CCA3915,OK,,Eucalyptus oblonga,Eucalyptus,Combination,0.7942,16.5625,1205,0.5,,2,0.5,,2,Humid,,,,,
624,2000,R194/T18,D.Nicolle,"Kings Tableland, NSW",Alive,Eucalyptus ligustrina,CCA3913,OK,,Eucalyptus ligustrina,Eucalyptus,Combination,0.971,12.84167,1318,1.5,,2,2,,2,Humid,,,,,
624,2000,R194/T15,D.Nicolle,"Kings Tableland, NSW",Alive,Eucalyptus ligustrina,CCA3912,OK,Resprouting,Eucalyptus ligustrina,Eucalyptus,Combination,0.971,12.84167,1318,1.5,,2,2,,2,Humid,,,,,
747,1994,R047/T05,D.Nicolle,"Bylong, NSW",Alive,Eucalyptus conica,CCA0677,OK,,Eucalyptus conica,Adnataria,Combination,0.3791,16.7875,653,0.75,0.5,4,1,0,4,Semiarid,X,x,x,,x
747,1994,R047/T06,D.Nicolle,"Bylong, NSW",Alive,Eucalyptus conica,CCA0678,OK,,Eucalyptus conica,Adnataria,Combination,0.3791,16.7875,653,0.75,0.5,4,1,0,4,Semiarid,X,x,,,x
747,1994,R047/T07,D.Nicolle,"Bylong, NSW",Alive,Eucalyptus conica x E. microcarpa,CCA0680,OK,Not FT,Eucalyptus conica,Adnataria,Combination,0.3791,16.7875,653,0.75,0.5,4,1,0,4,Semiarid,X,x,,,x
640,1994,R061/T22,D.Nicolle,"Nelson Bay, NSW",Alive,Eucalyptus capitellata,CCA0975,OK,,Eucalyptus capitellata,Eucalyptus,Combination,0.8219,18.02917,1304,1,0,4,2,1,4,Humid,,,,,
640,1994,R061/T21,D.Nicolle,"Nelson Bay, NSW",Alive,Eucalyptus capitellata,CCA0974,OK,,Eucalyptus capitellata,Eucalyptus,Combination,0.8219,18.02917,1304,1,0,4,2,1,4,Humid,,,,,
640,1994,R061/T23,D.Nicolle,"Nelson Bay, NSW",Alive,Eucalyptus capitellata,CCA0976,Only genomics,,Eucalyptus capitellata,Eucalyptus,Combination,0.8219,18.02917,1304,1,0,4,2,1,4,Humid,,,,,
747,1994,R047/T08,D.Nicolle,"Bylong, NSW",Alive,Eucalyptus conica,CCA0679,OK,,Eucalyptus conica,Adnataria,Combination,0.3791,16.7875,653,0.75,0.5,4,1,0,4,Semiarid,X,x,,,x
743,1994,R047/T19,D.Nicolle,"Ginghi, NSW",Alive,Eucalyptus dawsonii,CCA0687,OK,Tall,Eucalyptus dawsonii,Adnataria,Combination,0.4369,15.21667,695,0.5,0.577350269,4,0.25,0.5,4,Semiarid,X,x,x,,x
743,1994,R047/T20,D.Nicolle,"Ginghi, NSW",Alive,Eucalyptus dawsonii,CCA0688,OK,Tall,Eucalyptus dawsonii,Adnataria,Combination,0.4369,15.21667,695,0.5,0.577350269,4,0.25,0.5,4,Semiarid,X,x,,,x
642,1994,R061/T25,D.Nicolle,"Karuah, NSW",,Eucalyptus resinifera ,CCA0977,OK,,Eucalyptus resinifera subsp. resinifera,Latoangulatae,Combination,0.7403,17.975,1185,1.666666667,0.577350269,4,2.333333333,0.577350269,4,DrySubhumid,,,,,
642,1994,R061/T26,D.Nicolle,"Karuah, NSW",,Eucalyptus resinifera ,,OK,,Eucalyptus resinifera subsp. resinifera,Latoangulatae,Combination,0.7403,17.975,1185,1.666666667,0.577350269,4,2.333333333,0.577350269,4,DrySubhumid,,,,,
642,1994,R061/T27,D.Nicolle,"Karuah, NSW",,Eucalyptus resinifera ,,OK,,Eucalyptus resinifera subsp. resinifera,Latoangulatae,Combination,0.7403,17.975,1185,1.666666667,0.577350269,4,2.333333333,0.577350269,4,DrySubhumid,,,,,
