Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Eucalyptus extensa,D.Nicolle,3467,"Marvel Loch, WA",31,38,5,119,34,14,224,33,Alive,None evident,,None evident,Flowered,2001,R224/T33,,,
Eucalyptus extensa,D.Nicolle,3467,"Marvel Loch, WA",31,38,5,119,34,14,224,34,Alive,None evident,,None evident,Flowered,2001,R224/T34,,,
Eucalyptus extensa,D.Nicolle,3467,"Marvel Loch, WA",31,38,5,119,34,14,224,35,Alive,None evident,,None evident,Flowered,2001,R224/T35,,,
Eucalyptus extensa,D.Nicolle,3467,"Marvel Loch, WA",31,38,5,119,34,14,224,36,Dead,,,,,2001,R224/T36,,,
Eucalyptus x impensa (E. macrocarpa x E. pyriformis),D.Nicolle,3771,"South Eneabba NR 2, WA",30,0,17,115,15,27,224,37,Dead,,,,,2001,R224/T37,,,
Eucalyptus quaerenda,D.Nicolle,3719,"Lake King, WA",33,5,40,119,32,41,224,38,Dead,,,,,2001,R224/T38,,,
Eucalyptus polita,D.Nicolle,3468,"Marvel Loch, WA",31,29,41,119,31,42,224,4,Alive,None evident,,None evident,Flowered,2001,R224/T04,,,
Eucalyptus sp. 'Kalbarri' (aff. rigidula),D.Nicolle,3530,"Kalbarri, WA",27,46,13,114,8,20,224,5,Alive,None evident,,None evident,Flowered,2001,R224/T05,,,
Eucalyptus sp. 'Kalbarri' (aff. rigidula),D.Nicolle,3530,"Kalbarri, WA",27,46,13,114,8,20,224,6,Alive,None evident,,None evident,Flowered,2001,R224/T06,,,
Eucalyptus sp. 'Kalbarri' (aff. rigidula),D.Nicolle,3530,"Kalbarri, WA",27,46,13,114,8,20,224,7,Alive,None evident,,None evident,Flowered,2001,R224/T07,,,
Eucalyptus sp. 'Kalbarri' (aff. rigidula),D.Nicolle,3530,"Kalbarri, WA",27,46,13,114,8,20,224,8,Dead,,,,,2001,R224/T08,,,
Eucalyptus oraria,D.Nicolle,3527,"Kalbarri, WA",27,51,55,114,8,27,224,9,Alive,None evident,,None evident,Flowered,2001,R224/T09,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3608,"Mt Ney 2, WA",33,4,1,122,49,19,225,1,Dead,,,,,2001,R225/T01,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,3619,"Deralinya, WA",33,6,23,123,19,14,225,10,Dead,,,,,2001,R225/T10,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,3619,"Deralinya, WA",33,6,23,123,19,14,225,11,Alive,None evident,,None evident,Flowered,2001,R225/T11,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,3619,"Deralinya, WA",33,6,23,123,19,14,225,12,Alive,None evident,,None evident,Flowered,2001,R225/T12,,,
Eucalyptus leptocalyx subsp. petilipes,D.Nicolle,3616,"Mt Buraminya, WA",33,6,24,123,0,24,225,13,Dead,,,,,2001,R225/T13,,,
Eucalyptus leptocalyx subsp. petilipes,D.Nicolle,3616,"Mt Buraminya, WA",33,6,24,123,0,24,225,14,Alive,None evident,,None evident,Flowered,2001,R225/T14,,,
Eucalyptus leptocalyx subsp. petilipes,D.Nicolle,3616,"Mt Buraminya, WA",33,6,24,123,0,24,225,15,Alive,None evident,,None evident,Flowered,2001,R225/T15,,,
Eucalyptus leptocalyx subsp. petilipes,D.Nicolle,3616,"Mt Buraminya, WA",33,6,24,123,0,24,225,16,Alive,Fell in 2019,,,,2001,R225/T16,,,
Eucalyptus lesouefii,D.Nicolle,3633,"Fraser Range, WA",31,34,11,123,22,44,225,17,Dead,,,,,2001,R225/T17,,,
Eucalyptus lesouefii,D.Nicolle,3633,"Fraser Range, WA",31,34,11,123,22,44,225,18,Alive,None evident,,None evident,Flowered,2001,R225/T18,,,
Eucalyptus lesouefii,D.Nicolle,3633,"Fraser Range, WA",31,34,11,123,22,44,225,19,Dead,,,,,2001,R225/T19,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3608,"Mt Ney 2, WA",33,4,1,122,49,19,225,2,Alive,None evident,,None evident,Flowered,2001,R225/T02,,,
Eucalyptus lesouefii,D.Nicolle,3633,"Fraser Range, WA",31,34,11,123,22,44,225,20,Alive,None evident,,None evident,Flowered,2001,R225/T20,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,3631,"Spy Hill, WA",31,26,17,123,32,38,225,21,Alive,None evident,,None evident,Flowered,2001,R225/T21,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,3631,"Spy Hill, WA",31,26,17,123,32,38,225,22,Alive,None evident,,None evident,Flowered,2001,R225/T22,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,3631,"Spy Hill, WA",31,26,17,123,32,38,225,23,Alive,None evident,,None evident,Flowered,2001,R225/T23,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,3631,"Spy Hill, WA",31,26,17,123,32,38,225,24,Alive,None evident,,None evident,Flowered,2001,R225/T24,,,
Eucalyptus spreta,D.Nicolle,3634,"Fraser Range, WA",31,34,11,123,22,44,225,25,Alive,None evident,,None evident,Flowered,2001,R225/T25,,,
Eucalyptus spreta,D.Nicolle,3634,"Fraser Range, WA",31,34,11,123,22,44,225,26,Alive,None evident,,None evident,Flowered,2001,R225/T26,,,
Eucalyptus spreta,D.Nicolle,3634,"Fraser Range, WA",31,34,11,123,22,44,225,27,Alive,None evident,,None evident,Flowered,2001,R225/T27,,,
Eucalyptus spreta,D.Nicolle,3634,"Fraser Range, WA",31,34,11,123,22,44,225,28,Dead,,,,,2001,R225/T28,,,
Eucalyptus laevis,D.Nicolle,3635,"Fraser Range, WA",31,34,11,123,22,44,225,29,Alive,None evident,,None evident,Flowered,2001,R225/T29,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3608,"Mt Ney 2, WA",33,4,1,122,49,19,225,3,Alive,Fallen since 2016,,,,2001,R225/T03,,,
Eucalyptus laevis,D.Nicolle,3635,"Fraser Range, WA",31,34,11,123,22,44,225,30,Alive,None evident,,None evident,Flowered,2001,R225/T30,,,
Eucalyptus laevis,D.Nicolle,3635,"Fraser Range, WA",31,34,11,123,22,44,225,31,Alive,None evident,,None evident,Flowered,2001,R225/T31,,,
Eucalyptus laevis,D.Nicolle,3635,"Fraser Range, WA",31,34,11,123,22,44,225,32,Dead,,,,,2001,R225/T32,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,3620,"Pioneer Tank 2, WA",31,39,7,123,52,52,225,33,Alive,None evident,,None evident,Flowered,2001,R225/T33,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,3620,"Pioneer Tank 2, WA",31,39,7,123,52,52,225,34,Alive,None evident,,None evident,Flowered,2001,R225/T34,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,3620,"Pioneer Tank 2, WA",31,39,7,123,52,52,225,35,Alive,None evident,,None evident,Flowered,2001,R225/T35,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,3620,"Pioneer Tank 2, WA",31,39,7,123,52,52,225,36,Alive,None evident,,None evident,Flowered,2001,R225/T36,,,
Eucalyptus ecostata  ,D.Nicolle,2244,"Fitzgerald River Nat. Park, WA",33,56,43,119,55,47,225,37,Dead,,,,,2001,R225/T37,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3608,"Mt Ney 2, WA",33,4,1,122,49,19,225,4,Alive,None evident,,None evident,Flowered,2001,R225/T04,,,
Eucalyptus discreta,D.Nicolle,3613,"Buraminya track, WA",33,6,0,122,59,56,225,5,Alive,None evident,,None evident,Flowered,2001,R225/T05,,,
Eucalyptus discreta,D.Nicolle,3613,"Buraminya track, WA",33,6,0,122,59,56,225,6,Alive,None evident,,None evident,Flowered,2001,R225/T06,,,
Eucalyptus discreta,D.Nicolle,3613,"Buraminya track, WA",33,6,0,122,59,56,225,7,Alive,None evident,,None evident,Flowered,2001,R225/T07,,,
Eucalyptus discreta,D.Nicolle,3613,"Buraminya track, WA",33,6,0,122,59,56,225,8,Alive,None evident,,None evident,Flowered,2001,R225/T08,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,3619,"Deralinya, WA",33,6,23,123,19,14,225,9,Alive,None evident,,None evident,Flowered,2001,R225/T09,,,
Eucalyptus platycorys,D.Nicolle,3601,"Mt Ney, WA",33,15,11,122,36,7,226,1,Alive,None evident,,None evident,Flowered,2001,R226/T01,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3604,"Mt Ney 1, WA",33,10,45,122,41,32,226,10,Alive,None evident,,None evident,Flowered,2001,R226/T10,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3604,"Mt Ney 1, WA",33,10,45,122,41,32,226,11,Alive,None evident,,None evident,Flowered,2001,R226/T11,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3604,"Mt Ney 1, WA",33,10,45,122,41,32,226,12,Alive,None evident,,None evident,Flowered,2001,R226/T12,,,
Eucalyptus rugulata,D.Nicolle,3671,"South Ironcap, WA",32,40,45,119,46,49,226,13,Dead,,,,,2001,R226/T13,,,
Eucalyptus rugulata,D.Nicolle,3671,"South Ironcap, WA",32,40,45,119,46,49,226,14,Alive,None evident,,None evident,Flowered,2001,R226/T14,,,
Eucalyptus rugulata,D.Nicolle,3671,"South Ironcap, WA",32,40,45,119,46,49,226,15,Alive,Slight,,None evident,Flowered,2001,R226/T15,,,
Eucalyptus rugulata,D.Nicolle,3671,"South Ironcap, WA",32,40,45,119,46,49,226,16,Alive,None evident,,None evident,Flowered,2001,R226/T16,,,
Eucalyptus vittata,D.Nicolle,3667,"South Ironcap, WA",32,29,7,119,45,47,226,17,Alive,None evident,,None evident,Flowered,2001,R226/T17,,,
Eucalyptus vittata,D.Nicolle,3667,"South Ironcap, WA",32,29,7,119,45,47,226,18,Alive,None evident,,None evident,Flowered,2001,R226/T18,,,
Eucalyptus vittata,D.Nicolle,3667,"South Ironcap, WA",32,29,7,119,45,47,226,19,Alive,None evident,,None evident,Flowered,2001,R226/T19,,,
Eucalyptus platycorys,D.Nicolle,3601,"Mt Ney, WA",33,15,11,122,36,7,226,2,Alive,None evident,,None evident,Flowered,2001,R226/T02,,,
Eucalyptus vittata,D.Nicolle,3667,"South Ironcap, WA",32,29,7,119,45,47,226,20,Alive,None evident,,None evident,Flowered,2001,R226/T20,,,
Eucalyptus olivina,D.Nicolle,3670,"South Ironcap, WA",32,36,43,119,44,7,226,21,Alive,None evident,,None evident,Flowered,2001,R226/T21,,,
Eucalyptus olivina,D.Nicolle,3670,"South Ironcap, WA",32,36,43,119,44,7,226,22,Alive,None evident,,None evident,Flowered,2001,R226/T22,,,
Eucalyptus olivina,D.Nicolle,3670,"South Ironcap, WA",32,36,43,119,44,7,226,23,Alive,None evident,,None evident,Flowered,2001,R226/T23,,,
Eucalyptus olivina,D.Nicolle,3670,"South Ironcap, WA",32,36,43,119,44,7,226,24,Alive,None evident,,None evident,Flowered,2001,R226/T24,,,
Eucalyptus polita,D.Nicolle,3669,"South Ironcap, WA",32,35,55,119,44,11,226,25,Alive,None evident,,None evident,Flowered,2001,R226/T25,,,
Eucalyptus polita,D.Nicolle,3669,"South Ironcap, WA",32,35,55,119,44,11,226,26,Alive,None evident,,None evident,Flowered,2001,R226/T26,,,
Eucalyptus polita,D.Nicolle,3669,"South Ironcap, WA",32,35,55,119,44,11,226,27,Alive,None evident,,None evident,Flowered,2001,R226/T27,,,
Eucalyptus polita,D.Nicolle,3669,"South Ironcap, WA",32,35,55,119,44,11,226,28,Alive,None evident,,None evident,Flowered,2001,R226/T28,,,
Eucalyptus rugulata,D.Nicolle,3673,"Hatter Hill, WA",32,49,39,119,58,56,226,29,Dead,,,,,2001,R226/T29,,,
Eucalyptus platycorys,D.Nicolle,3601,"Mt Ney, WA",33,15,11,122,36,7,226,3,Alive,None evident,,None evident,Flowered,2001,R226/T03,,,
Eucalyptus rugulata,D.Nicolle,3673,"Hatter Hill, WA",32,49,39,119,58,56,226,30,Alive,None evident,,None evident,Flowered,2001,R226/T30,,,
Eucalyptus rugulata,D.Nicolle,3673,"Hatter Hill, WA",32,49,39,119,58,56,226,31,Alive,None evident,,None evident,Flowered,2001,R226/T31,,,
Eucalyptus rugulata,D.Nicolle,3673,"Hatter Hill, WA",32,49,39,119,58,56,226,32,Alive,None evident,,None evident,Flowered,2001,R226/T32,,,
Eucalyptus diminuta - E. stowardii intergrade,D.Nicolle,3697,"Watheroo, WA",30,16,20,116,2,23,226,33,Alive,None evident,,None evident,Flowered,2001,R226/T33,,,
Eucalyptus diminuta - E. stowardii intergrade,D.Nicolle,3697,"Watheroo, WA",30,16,20,116,2,23,226,34,Alive,None evident,,None evident,Flowered,2001,R226/T34,,,
Eucalyptus diminuta - E. stowardii intergrade,D.Nicolle,3697,"Watheroo, WA",30,16,20,116,2,23,226,35,Alive,None evident,,None evident,Flowered,2001,R226/T35,,,
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,"Moorine Rock, WA",31,14,2,118,58,39,226,36,Alive,None evident,,None evident,Budded,2001,R226/T36,,,
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,"Moorine Rock, WA",31,14,2,118,58,39,226,37,Dead,,,,,2001,R226/T37,,,
Eucalyptus crucis subsp. crucis,D.Nicolle,3681,"Moorine Rock, WA",31,14,2,118,58,39,226,38,Alive,None evident,,None evident,,2001,R226/T38,,,
Eucalyptus platycorys,D.Nicolle,3601,"Mt Ney, WA",33,15,11,122,36,7,226,4,Alive,None evident,,None evident,Flowered,2001,R226/T04,,,
Eucalyptus balladoniensis subsp. balladoniensis,D.Nicolle,3602,"Mt Ney, WA",33,10,45,122,41,32,226,5,Alive,None evident,,None evident,Flowered,2001,R226/T05,,,
Eucalyptus balladoniensis subsp. balladoniensis,D.Nicolle,3602,"Mt Ney, WA",33,10,45,122,41,32,226,6,Dead,,,,,2001,R226/T06,,,
Eucalyptus balladoniensis subsp. balladoniensis,D.Nicolle,3602,"Mt Ney, WA",33,10,45,122,41,32,226,7,Alive,None evident,,None evident,Flowered,2001,R226/T07,,,
Eucalyptus balladoniensis subsp. balladoniensis,D.Nicolle,3602,"Mt Ney, WA",33,10,45,122,41,32,226,8,Alive,None evident,,None evident,Flowered,2001,R226/T08,,,
Eucalyptus sp. 'Esperance' (aff. phenax),D.Nicolle,3604,"Mt Ney 1, WA",33,10,45,122,41,32,226,9,Alive,Fallen since 2016,,,,2001,R226/T09,,,
Eucalyptus astringens subsp. astringens,D.Nicolle,3438,"Dragon Rocks, WA",32,44,1,119,0,19,227,1,Alive,None evident,,None evident,Flowered,2001,R227/T01,,,
Eucalyptus gardneri subsp. gardneri,D.Nicolle,3434,"Cargannocking Hill, WA",32,44,44,118,9,4,227,10,Alive,None evident,,None evident,Flowered,2001,R227/T10,,,
Eucalyptus gardneri subsp. gardneri,D.Nicolle,3434,"Cargannocking Hill, WA",32,44,44,118,9,4,227,11,Alive,Dead (non-drought),1 - 2 years,None evident,Flowered,2001,R227/T11,,,
Eucalyptus gardneri subsp. gardneri,D.Nicolle,3434,"Cargannocking Hill, WA",32,44,44,118,9,4,227,12,Dead,,,,,2001,R227/T12,,,
Eucalyptus conveniens,D.Nicolle,3516,"Badgingarra, WA",30,19,13,115,31,39,227,13,Alive,None evident,,None evident,,2001,R227/T13,,,
Eucalyptus conveniens,D.Nicolle,3516,"Badgingarra, WA",30,19,13,115,31,39,227,14,Alive,None evident,,None evident,Flowered,2001,R227/T14,,,
Eucalyptus conveniens,D.Nicolle,3516,"Badgingarra, WA",30,19,13,115,31,39,227,15,Alive,None evident,,None evident,Flowered,2001,R227/T15,,,
Eucalyptus conveniens,D.Nicolle,3516,"Badgingarra, WA",30,19,13,115,31,39,227,16,Dead,,,,,2001,R227/T16,,,
Eucalyptus salicola,D.Nicolle,3457,"Baandie, WA",31,35,8,117,59,29,227,17,Alive,None evident,,None evident,Flowered,2001,R227/T17,,,
Eucalyptus salicola,D.Nicolle,3457,"Baandie, WA",31,35,8,117,59,29,227,18,Alive,None evident,,None evident,Flowered,2001,R227/T18,,,
Eucalyptus salicola,D.Nicolle,3457,"Baandie, WA",31,35,8,117,59,29,227,19,Alive,None evident,,None evident,Flowered,2001,R227/T19,,,
Eucalyptus astringens subsp. astringens,D.Nicolle,3438,"Dragon Rocks, WA",32,44,1,119,0,19,227,2,Alive,None evident,,None evident,Flowered,2001,R227/T02,,,
Eucalyptus salicola,D.Nicolle,3457,"Baandie, WA",31,35,8,117,59,29,227,20,Alive,None evident,,None evident,Flowered,2001,R227/T20,,,
Eucalyptus phenax subsp. phenax,D.Nicolle,3439,"Pingaring, WA",32,44,1,119,0,19,227,21,Alive,None evident,,None evident,Flowered,2001,R227/T21,,,
Eucalyptus phenax subsp. phenax,D.Nicolle,3439,"Pingaring, WA",32,44,1,119,0,19,227,22,Alive,None evident,,None evident,Flowered,2001,R227/T22,,,
Eucalyptus phenax subsp. phenax,D.Nicolle,3439,"Pingaring, WA",32,44,1,119,0,19,227,23,Alive,None evident,,None evident,Flowered,2001,R227/T23,,,
Eucalyptus phenax subsp. phenax,D.Nicolle,3439,"Pingaring, WA",32,44,1,119,0,19,227,24,Alive,None evident,,None evident,Flowered,2001,R227/T24,,,
Eucalyptus sp. 'Sullivan Soak' (aff. horistes),D.Nicolle,3436,"Pingaring, WA",32,45,41,118,24,2,227,25,Alive,Slight,,None evident,Flowered,2001,R227/T25,,,
Eucalyptus sp. 'Sullivan Soak' (aff. horistes),D.Nicolle,3436,"Pingaring, WA",32,45,41,118,24,2,227,26,Alive,Moderate,,None evident,Flowered,2001,R227/T26,,,
Eucalyptus sp. 'Sullivan Soak' (aff. horistes),D.Nicolle,3436,"Pingaring, WA",32,45,41,118,24,2,227,27,Alive,Slight,,None evident,Flowered,2001,R227/T27,,,
Eucalyptus sp. 'Sullivan Soak' (aff. horistes),D.Nicolle,3436,"Pingaring, WA",32,45,41,118,24,2,227,28,Alive,Severe,,None evident,Flowered,2001,R227/T28,,,
Eucalyptus wubinensis,D.Nicolle,3498,"Kalannie, WA",29,48,7,117,7,19,227,29,Alive,None evident,,None evident,Flowered,2001,R227/T29,,,
Eucalyptus astringens subsp. astringens,D.Nicolle,3438,"Dragon Rocks, WA",32,44,1,119,0,19,227,3,Alive,None evident,,None evident,Flowered,2001,R227/T03,,,
Eucalyptus wubinensis,D.Nicolle,3498,"Kalannie, WA",29,48,7,117,7,19,227,30,Alive,None evident,,None evident,Flowered,2001,R227/T30,,,
Eucalyptus wubinensis,D.Nicolle,3498,"Kalannie, WA",29,48,7,117,7,19,227,31,Alive,None evident,,None evident,Flowered,2001,R227/T31,,,
Eucalyptus wubinensis,D.Nicolle,3498,"Kalannie, WA",29,48,7,117,7,19,227,32,Alive,None evident,,None evident,Flowered,2001,R227/T32,,,
Eucalyptus todtiana,D.Nicolle,3763,"Gunyidi, WA",30,12,50,116,4,42,227,33,Dead,,,,,2001,R227/T33,,,
Eucalyptus astringens subsp. astringens,D.Nicolle,3438,"Dragon Rocks, WA",32,44,1,119,0,19,227,4,Alive,None evident,,None evident,Flowered,2001,R227/T04,,,
Eucalyptus albida,D.Nicolle,3437,"Pingaring, WA",32,44,59,118,56,50,227,5,Dead,,,,,2001,R227/T05,,,
Eucalyptus albida,D.Nicolle,3437,"Pingaring, WA",32,44,59,118,56,50,227,6,Alive,None evident,,None evident,Flowered,2001,R227/T06,,,
Eucalyptus albida,D.Nicolle,3437,"Pingaring, WA",32,44,59,118,56,50,227,7,Dead,,,,,2001,R227/T07,,,
Eucalyptus albida,D.Nicolle,3437,"Pingaring, WA",32,44,59,118,56,50,227,8,Alive,None evident,,None evident,Flowered,2001,R227/T08,,,
Eucalyptus gardneri subsp. gardneri,D.Nicolle,3434,"Cargannocking Hill, WA",32,44,44,118,9,4,227,9,Alive,None evident,,None evident,Flowered,2001,R227/T09,,,
Eucalyptus perangusta,D.Nicolle,3712,"Cascades, WA",33,16,21,120,47,54,228,1,Alive,None evident,,None evident,Flowered,2001,R228/T01,,,
Eucalyptus alipes,D.Nicolle,3678,"Hyden, WA",32,26,50,119,19,36,228,10,Alive,None evident,,None evident,Flowered,2001,R228/T10,,,
Eucalyptus alipes,D.Nicolle,3678,"Hyden, WA",32,26,50,119,19,36,228,11,Alive,None evident,,None evident,Flowered,2001,R228/T11,,,
Eucalyptus alipes,D.Nicolle,3678,"Hyden, WA",32,26,50,119,19,36,228,12,Alive,None evident,,None evident,Flowered,2001,R228/T12,,,
Eucalyptus platycorys,D.Nicolle,3627,"Spy Hill, WA",31,16,56,123,39,22,228,13,Alive,None evident,,None evident,Flowered,2001,R228/T13,,,
Eucalyptus platycorys,D.Nicolle,3627,"Spy Hill, WA",31,16,56,123,39,22,228,14,Alive,None evident,,None evident,Flowered,2001,R228/T14,,,
Eucalyptus platycorys,D.Nicolle,3627,"Spy Hill, WA",31,16,56,123,39,22,228,15,Alive,None evident,,None evident,Flowered,2001,R228/T15,,,
Eucalyptus platycorys,D.Nicolle,3627,"Spy Hill, WA",31,16,56,123,39,22,228,16,Alive,None evident,,None evident,Flowered,2001,R228/T16,,,
Eucalyptus exigua,D.Nicolle,3676,"Varley, WA",32,49,17,119,31,46,228,17,Alive,None evident,,None evident,Flowered,2001,R228/T17,,,
Eucalyptus exigua,D.Nicolle,3676,"Varley, WA",32,49,17,119,31,46,228,18,Alive,None evident,,None evident,Flowered,2001,R228/T18,,,
Eucalyptus exigua,D.Nicolle,3676,"Varley, WA",32,49,17,119,31,46,228,19,Alive,None evident,,None evident,Flowered,2001,R228/T19,,,
Eucalyptus perangusta,D.Nicolle,3712,"Cascades, WA",33,16,21,120,47,54,228,2,Alive,None evident,,None evident,Flowered,2001,R228/T02,,,
Eucalyptus exigua,D.Nicolle,3676,"Varley, WA",32,49,17,119,31,46,228,20,Alive,None evident,,None evident,Flowered,2001,R228/T20,,,
Eucalyptus alipes,D.Nicolle,3675,"Varley, WA",32,49,17,119,31,46,228,21,Alive,None evident,,None evident,Flowered,2001,R228/T21,,,
Eucalyptus alipes,D.Nicolle,3675,"Varley, WA",32,49,17,119,31,46,228,22,Alive,None evident,,None evident,Flowered,2001,R228/T22,,,
Eucalyptus alipes,D.Nicolle,3675,"Varley, WA",32,49,17,119,31,46,228,23,Alive,None evident,,None evident,Flowered,2001,R228/T23,,,
Eucalyptus alipes,D.Nicolle,3675,"Varley, WA",32,49,17,119,31,46,228,24,Dead,,,,,2001,R228/T24,,,
Eucalyptus gittinsii subsp. gittinsii,D.Nicolle,3533,"Hawks Head, WA",27,47,34,114,28,8,228,25,Alive,Dead (non-drought),2 - 3 years,None evident,Flowered,2001,R228/T25,,,
Eucalyptus gittinsii subsp. gittinsii,D.Nicolle,3533,"Hawks Head, WA",27,47,34,114,28,8,228,26,Alive,None evident,,None evident,Flowered,2001,R228/T26,,,
Eucalyptus gittinsii subsp. gittinsii,D.Nicolle,3533,"Hawks Head, WA",27,47,34,114,28,8,228,27,Alive,None evident,,None evident,Flowered,2001,R228/T27,,,
Eucalyptus gittinsii subsp. gittinsii,D.Nicolle,3533,"Hawks Head, WA",27,47,34,114,28,8,228,28,Alive,None evident,,None evident,Flowered,2001,R228/T28,,,
Eucalyptus subtilis ,D.Nicolle,3715,"Cascades, WA",33,14,25,120,29,47,228,29,Dead,,,,,2001,R228/T29,,,
Eucalyptus perangusta,D.Nicolle,3712,"Cascades, WA",33,16,21,120,47,54,228,3,Alive,None evident,,None evident,Flowered,2001,R228/T03,,,
Eucalyptus subtilis ,D.Nicolle,3715,"Cascades, WA",33,14,25,120,29,47,228,30,Alive,None evident,,None evident,Flowered,2001,R228/T30,,,
Eucalyptus subtilis ,D.Nicolle,3715,"Cascades, WA",33,14,25,120,29,47,228,31,Alive,None evident,,None evident,Flowered,2001,R228/T31,,,
Eucalyptus subtilis ,D.Nicolle,3715,"Cascades, WA",33,14,25,120,29,47,228,32,Alive,None evident,,None evident,Flowered,2001,R228/T32,,,
Eucalyptus longissima,D.Nicolle,2163,"Norseman 2, WA",32,9,8,121,44,14,228,33,Alive,None evident,,None evident,Flowered,2001,R228/T33,,,
Eucalyptus longissima,D.Nicolle,2163,"Norseman 2, WA",32,9,8,121,44,14,228,34,Alive,None evident,,None evident,Flowered,2001,R228/T34,,,
Eucalyptus perangusta,D.Nicolle,3712,"Cascades, WA",33,16,21,120,47,54,228,4,Alive,None evident,,None evident,Flowered,2001,R228/T04,,,
Eucalyptus caesia subsp. caesia,D.Nicolle,3683,"Kokerbin Hill, WA",31,53,43,117,42,31,228,5,Alive,Slight,,None evident,Flowered,2001,R228/T05,,,
Eucalyptus caesia subsp. caesia,D.Nicolle,3683,"Kokerbin Hill, WA",31,53,43,117,42,31,228,6,Alive,Slight,,None evident,Flowered,2001,R228/T06,,,
Eucalyptus caesia subsp. caesia,D.Nicolle,3683,"Kokerbin Hill, WA",31,53,43,117,42,31,228,7,Alive,Slight,,None evident,Flowered,2001,R228/T07,,,
Eucalyptus caesia subsp. caesia,D.Nicolle,3683,"Kokerbin Hill, WA",31,53,43,117,42,31,228,8,Alive,Slight,,None evident,Flowered,2001,R228/T08,,,
Eucalyptus alipes,D.Nicolle,3678,"Hyden, WA",32,26,50,119,19,36,228,9,Alive,None evident,,None evident,Flowered,2001,R228/T09,,,
Eucalyptus falcata,D.Nicolle,3433,"Cargannocking Hill, WA",32,44,44,118,9,4,229,1,Alive,Slight,,None evident,Flowered,2001,R229/T01,,,
Eucalyptus rugosa,D.Nicolle,3179,"Sleaford Bay 1, SA",34,54,55,135,40,45,229,10,Alive,Slight,,None evident,Flowered,2001,R229/T10,,,
Eucalyptus rugosa,D.Nicolle,3179,"Sleaford Bay 1, SA",34,54,55,135,40,45,229,11,Alive,Slight,,None evident,Flowered,2001,R229/T11,,,
Eucalyptus rugosa,D.Nicolle,3179,"Sleaford Bay 1, SA",34,54,55,135,40,45,229,12,Alive,Severe,,None evident,Flowered,2001,R229/T12,,,
Eucalyptus utilis,D.Nicolle,3705,"Hopetoun, WA",33,56,50,120,6,59,229,13,Alive,None evident,,None evident,Flowered,2001,R229/T13,,,
Eucalyptus utilis,D.Nicolle,3705,"Hopetoun, WA",33,56,50,120,6,59,229,14,Alive,None evident,,None evident,Flowered,2001,R229/T14,,,
Eucalyptus utilis,D.Nicolle,3705,"Hopetoun, WA",33,56,50,120,6,59,229,15,Alive,None evident,,None evident,Flowered,2001,R229/T15,,,
Eucalyptus utilis,D.Nicolle,3705,"Hopetoun, WA",33,56,50,120,6,59,229,16,Alive,None evident,,None evident,Flowered,2001,R229/T16,,,
Eucalyptus cladocalyx subsp. cladocalyx,D.Nicolle,3182,"Coomunga, SA",34,38,48,135,42,44,229,17,Alive,None evident,,Slight,Flowered,2001,R229/T17,,,
Eucalyptus cladocalyx subsp. cladocalyx,D.Nicolle,3182,"Coomunga, SA",34,38,48,135,42,44,229,18,Alive,None evident,,Moderate,Flowered,2001,R229/T18,,,
Eucalyptus cladocalyx subsp. cladocalyx,D.Nicolle,3182,"Coomunga, SA",34,38,48,135,42,44,229,19,Alive,None evident,,Slight,Flowered,2001,R229/T19,,,
Eucalyptus falcata,D.Nicolle,3433,"Cargannocking Hill, WA",32,44,44,118,9,4,229,2,Alive,None evident,,None evident,Flowered,2001,R229/T02,,,
Eucalyptus cladocalyx subsp. cladocalyx,D.Nicolle,3182,"Coomunga, SA",34,38,48,135,42,44,229,20,Alive,None evident,,None evident,Flowered,2001,R229/T20,,,
