Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Eucalyptus flavida,D.Nicolle,343,"Bronco Plains, WA",30,50,27,122,50,13,11,5,Alive,None evident,,None evident,Flowered,1993,R011/T05,,,
Eucalyptus flavida,D.Nicolle,343,"Bronco Plains, WA",30,50,27,122,50,13,11,6,Alive,None evident,,None evident,,1993,R011/T06,,,
Eucalyptus goniocarpa,D.Nicolle,186,"Lake King, WA",33,8,1,119,42,16,11,7,Alive,None evident,,None evident,Flowered,1993,R011/T07,,,
Eucalyptus goniocarpa,D.Nicolle,186,"Lake King, WA",33,8,1,119,42,16,11,8,Alive,None evident,,None evident,Flowered,1993,R011/T08,,,
Eucalyptus goniocarpa,D.Nicolle,186,"Lake King, WA",33,8,1,119,42,16,11,9,Alive,None evident,,None evident,Flowered,1993,R011/T09,,,
Eucalyptus educta,D.Nicolle,335,"Callion, WA",30,7,29,120,33,26,12,1,Alive,None evident,,None evident,Flowered,1993,R012/T01,,,
Eucalyptus cyclostoma,D.Nicolle,125,"Newman Rock, WA",32,9,34,123,14,24,12,10,Alive,None evident,,None evident,Flowered,1993,R012/T10,,,
Eucalyptus cyclostoma,D.Nicolle,125,"Newman Rock, WA",32,9,34,123,14,24,12,11,Alive,None evident,,None evident,Flowered,1993,R012/T11,,,
Eucalyptus cyclostoma,D.Nicolle,125,"Newman Rock, WA",32,9,34,123,14,24,12,12,Alive,None evident,,None evident,Flowered,1993,R012/T12,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,127,"Fraser Range, WA",32,3,8,122,57,54,12,13,Alive,None evident,,None evident,Flowered,1993,R012/T13,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,127,"Fraser Range, WA",32,3,8,122,57,54,12,14,Alive,None evident,,None evident,Flowered,1993,R012/T14,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,127,"Fraser Range, WA",32,3,8,122,57,54,12,15,Alive,None evident,,None evident,Flowered,1993,R012/T15,,,
Eucalyptus effusa subsp. effusa,D.Nicolle,127,"Fraser Range, WA",32,3,8,122,57,54,12,16,Alive,None evident,,None evident,Flowered,1993,R012/T16,,,
Eucalyptus varia,D.Nicolle,163,"Scaddan, WA",33,31,2,121,40,19,12,17,Dead,,,,,1993,R012/T17,,,
Eucalyptus varia,D.Nicolle,163,"Scaddan, WA",33,31,2,121,40,19,12,18,Alive,None evident,,None evident,Flowered,1993,R012/T18,,,
Eucalyptus varia,D.Nicolle,163,"Scaddan, WA",33,31,2,121,40,19,12,19,Alive,Dead (non-drought),,None evident,Flowered,1993,R012/T19,,,
Eucalyptus educta,D.Nicolle,335,"Callion, WA",30,7,29,120,33,26,12,2,Alive,None evident,,None evident,Flowered,1993,R012/T02,,,
Eucalyptus varia,D.Nicolle,163,"Scaddan, WA",33,31,2,121,40,19,12,20,Alive,None evident,,None evident,Flowered,1993,R012/T20,,,
Eucalyptus perangusta,D.Nicolle,148,"Lort River, WA",33,6,23,121,11,26,12,21,Alive,None evident,,None evident,Flowered,1993,R012/T21,,,
Eucalyptus perangusta,D.Nicolle,148,"Lort River, WA",33,6,23,121,11,26,12,22,Alive,None evident,,None evident,Flowered,1993,R012/T22,,,
Eucalyptus perangusta,D.Nicolle,148,"Lort River, WA",33,6,23,121,11,26,12,23,Alive,None evident,,None evident,Flowered,1993,R012/T23,,,
Eucalyptus perangusta,D.Nicolle,148,"Lort River, WA",33,6,23,121,11,26,12,24,Alive,None evident,,None evident,Flowered,1993,R012/T24,,,
Eucalyptus livida,D.Nicolle,318,"North Ironcap, WA",32,21,25,119,39,56,12,25,Alive,None evident,,None evident,Flowered,1993,R012/T25,,,
Eucalyptus livida,D.Nicolle,318,"North Ironcap, WA",32,21,25,119,39,56,12,26,Alive,None evident,,None evident,Flowered,1993,R012/T26,,,
Eucalyptus livida,D.Nicolle,318,"North Ironcap, WA",32,21,25,119,39,56,12,27,Alive,None evident,,None evident,Flowered,1993,R012/T27,,,
Eucalyptus livida,D.Nicolle,318,"North Ironcap, WA",32,21,25,119,39,56,12,28,Alive,None evident,,None evident,Flowered,1993,R012/T28,,,
Eucalyptus wyolensis,D.Nicolle,112,"Oak Valley 1, SA",29,20,13,130,13,13,12,29,Alive,None evident,,None evident,Flowered,1993,R012/T29,,,
Eucalyptus educta,D.Nicolle,335,"Callion, WA",30,7,29,120,33,26,12,3,Dead,,,,,1993,R012/T03,,,
Eucalyptus wyolensis,D.Nicolle,112,"Oak Valley 1, SA",29,20,13,130,13,13,12,30,Alive,None evident,,None evident,Flowered,1993,R012/T30,,,
Eucalyptus wyolensis,D.Nicolle,112,"Oak Valley 1, SA",29,20,13,130,13,13,12,31,Alive,None evident,,None evident,Flowered,1993,R012/T31,,,
Eucalyptus wyolensis,D.Nicolle,112,"Oak Valley 1, SA",29,20,13,130,13,13,12,32,Dead,,,,,1993,R012/T32,,,
Eucalyptus halophila,D.Nicolle,155,"Truslove, WA",33,20,18,121,44,50,12,33,Alive,None evident,,None evident,Flowered,1993,R012/T33,,,
Eucalyptus halophila,D.Nicolle,155,"Truslove, WA",33,20,18,121,44,50,12,34,Alive,None evident,,None evident,Flowered,1993,R012/T34,,,
Eucalyptus halophila,D.Nicolle,155,"Truslove, WA",33,20,18,121,44,50,12,35,Alive,None evident,,None evident,Flowered,1993,R012/T35,,,
Eucalyptus halophila,D.Nicolle,155,"Truslove, WA",33,20,18,121,44,50,12,36,Alive,None evident,,None evident,Flowered,1993,R012/T36,,,
Eucalyptus educta,D.Nicolle,335,"Callion, WA",30,7,29,120,33,26,12,4,Dead,,,,,1993,R012/T04,,,
Eucalyptus wandoo subsp. pulverea,D.Nicolle,285,"Watheroo, WA",30,14,28,116,2,21,12,5,Alive,None evident,,None evident,Flowered,1993,R012/T05,,,
Eucalyptus wandoo subsp. pulverea,D.Nicolle,285,"Watheroo, WA",30,14,28,116,2,21,12,6,Alive,None evident,,None evident,Flowered,1993,R012/T06,,,
Eucalyptus wandoo subsp. pulverea,D.Nicolle,285,"Watheroo, WA",30,14,28,116,2,21,12,7,Alive,None evident,,None evident,Flowered,1993,R012/T07,,,
Eucalyptus wandoo subsp. pulverea,D.Nicolle,285,"Watheroo, WA",30,14,28,116,2,21,12,8,Alive,None evident,,None evident,Flowered,1993,R012/T08,,,
