UniqueID,Yearplanted,RowTree,Current.name,TaxonoriginalDN,Section,PackedForSequencing,Diam.1.Bark,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Taxonsimplified_DN,Acceptedname_ALA,Note.Gbif,Taxonresolution_ALA,Collector,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2019Scale,Drought2020,Drought2020Scale,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,Drought2006Scale,latitude,longitude,Binomial.Dean.Nicolle,Stateoccurrence,Regeneration.Strategy,CCA,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
743,1994,R047/T20,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,x,11.44,11.32,8.59,9.12,2.68,2.7477,1.73,Eucalyptus dawsonii,Eucalyptus dawsonii,,Species,D.Nicolle,"Ginghi, NSW",32,36,31,150,4,29,47,20,Alive,Slight,1,None evident,0,?,None evident,,,,,None evident,Flowered,Flowered,1994,0,-32.60861111,150.0747222,Eucalyptus dawsonii,NSW,Combination,Y,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
743,1994,R047/T21,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,x,9.47,8.39,6.93,7.53,1.85,2.8784,1.22,Eucalyptus dawsonii,Eucalyptus dawsonii,,Species,D.Nicolle,"Ginghi, NSW",32,36,31,150,4,29,47,21,Alive,Slight,1,Slight,1,?,None evident,,,,,None evident,Flowered,Flowered,1994,0,-32.60861111,150.0747222,Eucalyptus dawsonii,NSW,Combination,Y,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
777,1994,R048/T13,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,x,12.06,12.93,9.38,9.88,3.44,2.7063,2.17,Eucalyptus melliodora,Eucalyptus melliodora,,Species,D.Nicolle,"Rylstone, NSW",32,42,44,149,57,58,48,13,Alive,Slight,1,None evident,0,?,None evident,,,,,None evident,Flowered,Flowered,1994,0,-32.71222222,149.9661111,Eucalyptus melliodora,"NSW,Vic,Qld",Combination,Y,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
777,1994,R048/T14,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,x,12.27,11.96,9.23,9.51,3.6,2.1894,2.43,Eucalyptus melliodora,Eucalyptus melliodora,,Species,D.Nicolle,"Rylstone, NSW",32,42,44,149,57,58,48,14,Alive,None evident,0,Slight,1,?,None evident,,,,,None evident,Flowered,Flowered,1994,0,-32.71222222,149.9661111,Eucalyptus melliodora,"NSW,Vic,Qld",Combination,Y,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
777,1994,R048/T15,Eucalyptus melliodora,Eucalyptus melliodora,Adnataria,x,13.61,12.1,9.24,11.06,3.71,2.1719,2.48,Eucalyptus melliodora,Eucalyptus melliodora,,Species,D.Nicolle,"Rylstone, NSW",32,42,44,149,57,58,48,15,Alive,Slight,1,Slight,1,?,None evident,,,,,None evident,Flowered,Flowered,1994,0,-32.71222222,149.9661111,Eucalyptus melliodora,"NSW,Vic,Qld",Combination,Y,4644,1580,0.4644,14.475,20.86667,7.866667,734,90,40,20.44896,227,145,227,150,12.66667,47.26368,523.3003,28.4,1.6,26.8,20.86667,11.3,0.158,733.842,
746,1994,R048/T18,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,Adnataria,x,13.44,13.26,10.53,10.24,3.79,4.3974,2.44,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,,Subspecies,D.Nicolle,"Bylong, NSW",32,24,13,150,13,41,48,18,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.40361111,150.2280556,Eucalyptus caleyi subsp. caleyi,"NSW,Qld",Combination,Y,3752,1726,0.3752,16.875,23.08333,10.33333,648,93,33,29.87578,225,120,225,120,12.21667,46.80715,513.5372,29.9,3.8,26.1,23.08333,10.33333,0.1726,647.8274,
746,1994,R048/T19,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,Adnataria,x,15.43,16.13,11.74,12.24,5.88,4.5628,3.96,Eucalyptus caleyi subsp. caleyi,Eucalyptus caleyi subsp. caleyi,,Subspecies,D.Nicolle,"Bylong, NSW",32,24,13,150,13,41,48,19,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.40361111,150.2280556,Eucalyptus caleyi subsp. caleyi,"NSW,Qld",Combination,Y,3752,1726,0.3752,16.875,23.08333,10.33333,648,93,33,29.87578,225,120,225,120,12.21667,46.80715,513.5372,29.9,3.8,26.1,23.08333,10.33333,0.1726,647.8274,
736,1994,R048/T22,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,x,10.51,10.91,8.08,8.42,2.67,1.4191,2.09,Eucalyptus polybractea,Eucalyptus polybractea,,Species,D.Nicolle,"West Wyalong, NSW",33,53,32,147,4,24,48,22,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-33.89222222,147.0733333,Eucalyptus polybractea,"Vic,SA,NSW",Lignotuber,Y,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
736,1994,R048/T23,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,x,9.49,8.39,7.92,6.67,2.27,2.9842,1.72,Eucalyptus polybractea,Eucalyptus polybractea,,Species,D.Nicolle,"West Wyalong, NSW",33,53,32,147,4,24,48,23,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-33.89222222,147.0733333,Eucalyptus polybractea,"Vic,SA,NSW",Lignotuber,Y,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
736,1994,R048/T24,Eucalyptus polybractea,Eucalyptus polybractea,Adnataria,x,12.35,11.36,8.45,9.28,3.14,2.8898,2.33,Eucalyptus polybractea,Eucalyptus polybractea,,Species,D.Nicolle,"West Wyalong, NSW",33,53,32,147,4,24,48,24,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-33.89222222,147.0733333,Eucalyptus polybractea,"Vic,SA,NSW",Lignotuber,Y,2660,1909,0.266,16.42917,23.88333,9,508,55,33,16.14885,141,108,129,121,12.79167,44.57027,604.0524,31.7,3,28.7,12.5,20.98333,0.1909,507.8091,
